OMAP-9,P01732,HGNC:1706,CD8A,Mouse,IgG1 kappa,Monoclonal,SK1,Akoya Biosciences,4150004,B360962,N,,200,Oligonucleotide,AB_2895049,CODEX,Fresh Frozen,2,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines CD8+ T cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P05164,HGNC:7218,MPO,Rabbit,IgG,Monoclonal,E1E7I,Akoya Biosciences,4250083,B377401,Y,,200,Oligonucleotide,AB_2927678,CODEX,Fresh Frozen,2,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,Defines neutrophills. This marker represents a prioritized target in the kidney OMAP.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P07766,HGNC:1674,CD3E,Mouse,IgG1,Monoclonal,UCHT1,Akoya Biosciences,4350008,1221L355,N,,200,Oligonucleotide,AB_2895047,CODEX,Fresh Frozen,2,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines pan T-cells. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P11836,HGNC:7315,MS4A1,Mouse,IgG2a,Monoclonal,L26,Akoya Biosciences,4150018,B340236,N,,200,Oligonucleotide,AB_2895056,CODEX,Fresh Frozen,3,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines B cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P08575-4,HGNC:9666,PTPRC,Mouse,IgG2a,Monoclonal,UCHL1,Akoya Biosciences,4250023,B363663,N,,200,Oligonucleotide,AB_2895053,CODEX,Fresh Frozen,3,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines memory T cells. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P01730,HGNC:1678,CD4,Mouse,IgG1 kappa,Monoclonal,SK3,Akoya Biosciences,4350010,B355751,N,,200,Oligonucleotide,AB_2895048,CODEX,Fresh Frozen,3,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines CD4+ T cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P08575,HGNC:9666,PTPRC,Mouse,IgG1 kappa,Monoclonal,HI30,Akoya Biosciences,4150003,B360630,N,,100,Oligonucleotide,AB_2895052,CODEX,Fresh Frozen,4,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,Defines pan-leukocytes. This marker represents a prioritized target in the kidney OMAP.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P46013,HGNC:7107,MKI67,Mouse,IgG1 kappa,Monoclonal,B56,Akoya Biosciences,4250019,0222L420,Y,,200,Oligonucleotide,AB_2895046,CODEX,Fresh Frozen,4,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines proliferating cells. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P20702,HGNC:6152,ITGAX,Mouse,IgG2b,Monoclonal,S-HCL-3,Akoya Biosciences,4350012,B359691,N,,200,Oligonucleotide,AB_2895050,CODEX,Fresh Frozen,4,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines resident dendritic cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P08670,HGNC:12692,VIM,Mouse,IgG1,Monoclonal,RV202,BD Pharmingen,550513,1274497,N,,200,Oligonucleotide,AB_393716,CODEX,Fresh Frozen,5,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,Defines fibroblasts. Also detectable in alpha smooth muscle actin+ cells. This marker represents a prioritized target in the kidney OMAP. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P23771,HGNC:4172,GATA3,Rabbit,IgG,Monoclonal,D13C9,Akoya Biosciences,4250085,B354124,Y,,200,Oligonucleotide,AB_2927677,CODEX,Fresh Frozen,5,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines a transcription factor regulating T helper 2 cells. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,Q9BZS1,HGNC:6106,FOXP3,Mouse,IgG1 kappa,Monoclonal,236A/E7,Akoya Biosciences,4550071,B373305,Y,,200,Oligonucleotide,AB_2927679,CODEX,Fresh Frozen,5,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines T regulatory cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P10451,HGNC:11255,SPP1,Mouse,IgG1 kappa,Monoclonal,AKm2A1,Santa Cruz Biotechnology,sc21742,J1822,Y,,200,Oligonucleotide,AB_2194997,CODEX,Fresh Frozen,6,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines injury of tubule epithelial cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P55017,HGNC:10912,SLC12A3,Rabbit,IgG2,Polyclonal,,MiliporeSigma,AB3553,3728204,N,,200,Oligonucleotide,AB_571116,CODEX,Fresh Frozen,6,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,Defines cells in distal convoluted tubule. This marker represents a prioritized target in the kidney OMAP. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,O15162,HGNC:9092,PLSCR1,Mouse,IgG2a kappa,Monoclonal,3B4,Thermo Fisher Scientific,MA5-19636,XJ3729311,N,,200,Oligonucleotide,AB_2610379,CODEX,Fresh Frozen,6,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines injury of tubule epithelial cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P19320,HGNC:12663,VCAM1,Rabbit,IgG,Monoclonal,EPR5047,Abcam,ab271899,GR3375149-2,Y,,200,Oligonucleotide,AB_2895043,CODEX,Fresh Frozen,7,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,Defines injury and failed repair of proximal tubule epithelial cells. This marker represents a prioritized target in the kidney OMAP.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P22897,HGNC:7228,MRC1,Goat,IgG,Polyclonal,,R&D Systems,AF2534,VKG0120031,Y,,200,Oligonucleotide,AB_2063019,CODEX,Fresh Frozen,7,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines M2 macrophages. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P04216,HGNC:11801,THY1,Mouse,IgG1,Monoclonal,5E10,Akoya Biosciences,4150021,B344475,N,,200,Oligonucleotide,AB_2895055,CODEX,Fresh Frozen,8,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,"Defines a subset of proximal tubule cells, fibroblasts, and activated endothelial cells. This marker represents a prioritized target in the kidney OMAP.",kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P29972,HGNC:633,AQP1,Mouse,IgG2b kappa,Monoclonal,1/22,Santa Cruz Biotechnology,sc-32737-X,J1822,N,,100,Oligonucleotide,AB_2895040,CODEX,Fresh Frozen,8,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,Defines cells in the proximal tubule and descending thin limb. This marker represents a prioritized target in the kidney OMAP. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,Q96D42,HGNC:17866,HAVCR1,Mouse,IgG2b,Monoclonal,219211,R&D Systems,MAB1750,JNT0222041,Y,,200,Oligonucleotide,AB_2116559,CODEX,Fresh Frozen,8,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,Defines injury of tubule epithelial cells. This marker represents a prioritized target in the kidney OMAP.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P13500,HGNC:10618,CCL2,Mouse,IgG1,Monoclonal,5J,Santa Cruz Biotechnology,sc-32771,A0521,Y,,200,Oligonucleotide,AB_626820,CODEX,Fresh Frozen,9,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines injury of tubule epithelial cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P05412,HGNC:6204,JUN,Rabbit,IgG,Monoclonal,D47G9,Cell Signalling Technology,3270BF,7,Y,,100,Oligonucleotide,AB_2895041,CODEX,Fresh Frozen,9,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines injury of epithelial cells. Visualized as nuclear staining. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,Q8NB16,HGNC:26617,MLKL,Rabbit,IgG,Monoclonal,D6H3V(S358),Cell Signaling Technology,91689BF,2,Y,,200,Oligonucleotide,AB_2895044,CODEX,Fresh Frozen,9,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines the process of necroptosis.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P02751,HGNC:3778,FN1,Rabbit,IgG,Monoclonal,F1,Abcam,ab271831,GR3402814-3,Y,,200,Oligonucleotide,AB_2895045,CODEX,Fresh Frozen,10,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines injury regions prior to collagen deposition. ,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,Q9H492,HGNC:6838,MAP1LC3A,Rabbit,IgG,Polyclonal,,Sigma-Aldrich,L8918-25UL,0000156906,N,,200,Oligonucleotide,AB_1079382,CODEX,Fresh Frozen,10,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines the process of autophagy.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P01034,HGNC:2475,CST3,Rabbit,IgG,Monoclonal,EPR4413,Abcam,ab217569,GR42677-35,Y,,200,Oligonucleotide,AB_2895067,CODEX,Fresh Frozen,10,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines injury of tubule epithelial cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P05023,HGNC:799,ATP1A1,Rabbit,IgG,Monoclonal,HL114,GeneTex,GTX635461,NA,N,,400,Oligonucleotide,AB_2888530,CODEX,Fresh Frozen,11,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,Defines cells in distal convoluted tubule. Also detectable in thick ascending limb and to a much lesser degree in proximal tubule. This marker represents a prioritized target in the kidney OMAP.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P16284,HGNC:8823,PECAM1,Mouse,IgG1,Monoclonal,WM59,Akoya Biosciences,4250009,B355754,Y,,200,Oligonucleotide,AB_2895051,CODEX,Fresh Frozen,11,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,Defines endothelial cells. This marker represents a prioritized target in the kidney OMAP.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,O43490,HGNC:9454,PROM1,Mouse,IgG1 kappa,Monoclonal,AC133,Miltenyi Biotec,130-090-422,1321080702,N,,200,Oligonucleotide,AB_244339,CODEX,Fresh Frozen,11,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines injury of tubule epithelial cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,O00592,HGNC:9171,PODXL,Goat,IgG,Polyclonal,,R&D Systems,AF1658 ,JLD0220081,Y,,200,Oligonucleotide,AB_354920,CODEX,Fresh Frozen,12,AF488,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,"Defines podocytes, cells present in glomerulus. This marker represents a prioritized target in the kidney OMAP. ",kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,P12830,HGNC:1748,CDH1,Mouse,IgG1 kappa,Monoclonal,4A2C7,Akoya Biosciences,4250021,B372381,Y,,200,Oligonucleotide,AB_2895057,CODEX,Fresh Frozen,12,Atto550,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",Y,"Defines cells in the Loop of Henle, distal convoluted tubule, and collecting duct. This marker represents a prioritized target in the kidney OMAP.",kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OMAP-9,Q16270,HGNC:5476,IGFBP7,Rabbit,IgG,Polyclonal,,OriGene,AP01109PU-S,0409M324RB,Y,,200,Oligonucleotide,AB_1617562,CODEX,Fresh Frozen,12,AF647,10.17504/protocols.io.8epv5jdbnl1b/v1,"0000-0002-0776-3030, 0000-0003-4645-3614, 0000-0002-7496-8570, 0000-0002-9531-3899, 0000-0002-2396-5871",N,Defines injury of tubule epithelial cells.,kidney,UBERON:0002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
