Crosswalk of VCCF Types annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Aleix Puig-Barbe,,,,,
bonemarrow-codex-chop_L3,UBERON:0002371,hematopoietic stem cell,VCCF:0000046,hematopoietic stem cell,CL:0000037,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,b cell:immature,VCCF:0000047,immature B cell,CL:0000816,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,myeloid cell:intermediate,VCCF:0000048,myeloid cell:intermediate,CL:0000763,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,macrophage,VCCF:0000049,macrophage,CL:0000235,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,myeloid cell:mature,VCCF:0000050,myeloid cell:mature,CL:0000763,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,megakaryocyte:gata1-,VCCF:0000051,megakaryocyte:gata1-negative,CL:0000556,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,mesenchymal stem cell of adipose tissue,VCCF:0000052,mesenchymal stem cell of adipose tissue,CL:0002570,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,monocyte,VCCF:0000053,monocyte,CL:0000576,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,monocyte:non-classical,VCCF:0000054,non-classical monocyte,CL:0000875,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,mutant blast:npm1,VCCF:0000055,cell:mutant blast npm1,CL:0000000,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,plasma cell,VCCF:0000056,plasma cell,CL:0000786,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,dendritic cell:plasmacytoid,VCCF:0000057,plasmacytoid dendritic cell,CL:0000784,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,schwann cell,VCCF:0000058,Schwann cell,CL:0002573,skos:exactMatch
bonemarrow-codex-chop_L3,UBERON:0002371,hematopoietic stem and progenitor cell:spink2+,VCCF:0000059,hematopoietic multipotent progenitor cell:spink2-positive,CL:0000837,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,mesenchymal stem/stromal cell:thy1+,VCCF:0000060,mesenchymal stem cell:thy1-positive,CL:0000134,skos:narrowMatch
bonemarrow-codex-chop_L3,UBERON:0002371,muscle cell:smooth,VCCF:0000061,smooth muscle cell,CL:0000192,skos:exactMatch
colon-cycif-sorgerlab_L1,UBERON:0002372,immune cell,VCCF:0000062,leukocyte,CL:0000738,skos:broadMatch
colon-cycif-sorgerlab_L1,UBERON:0002372,unknown cell,VCCF:0000063,cell:unknown,CL:0000000,skos:narrowMatch
colon-cycif-sorgerlab_L1,UBERON:0002372,epithelial cell,VCCF:0000064,epithelial cell,CL:0000066,skos:exactMatch
colon-cycif-sorgerlab_L1,UBERON:0002372,mesenchymal cell,VCCF:0000065,mesenchymal cell,CL:0008019,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,b cell,VCCF:0000066,B cell,CL:0000236,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,unknown cell,VCCF:0000067,cell:unknown,CL:0000000,skos:narrowMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,t cell,VCCF:0000068,T cell,CL:0000084,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,abnormal cell,VCCF:0000069,abnormal cell,CL:0001061,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,macrophage,VCCF:0000070,macrophage,CL:0000235,skos:exactMatch
colon-cycif-sorgerlab_L2,UBERON:0002372,fibroblast,VCCF:0000071,fibroblast,CL:0000057,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,b cell,VCCF:0000072,B cell,CL:0000236,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,unknown cell,VCCF:0000073,cell:unknown,CL:0000000,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,t cell:cd8+,VCCF:0000074,"CD8-positive, alpha-beta T cell",CL:0000625,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,t cell:cd8+ pdl1+,VCCF:0000075,"CD8-positive, alpha-beta T cell:pdl1-positive",CL:0000625,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,lymphocyte:double-negative,VCCF:0000076,double negative thymocyte,CL:0002489,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,lymphocyte:double-positive alpha-beta,VCCF:0000077,"double-positive, alpha-beta thymocyte",CL:0000809,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,epithelial cell:ki67+ proliferating tumor,VCCF:0000078,epithelial cell:ki67-positive proliferating tumor,CL:0000066,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,epithelial cell:pdl1+ tumor,VCCF:0000079,epithelial cell:pdl1-positive tumor,CL:0000066,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,t cell:cd4+,VCCF:0000080,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,t cell:cd4+ pdl1+,VCCF:0000081,"CD4-positive, alpha-beta T cell:pdl1-positive",CL:0000624,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,lymphocyte:iii,VCCF:0000082,lymphocyte:III,CL:0000542,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,lymphocyte:pdl1+,VCCF:0000083,lymphocyte:pdl1-positive,CL:0000542,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,macrophage:i,VCCF:0000084,macrophage:I,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,macrophage:ii,VCCF:0000085,macrophage:II,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,macrophage:iii,VCCF:0000086,macrophage:III,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,macrophage:iv,VCCF:0000087,macrophage:IV,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,macrophage:pdl1+,VCCF:0000088,macrophage:pdl1-positive,CL:0000235,skos:narrowMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,myofibroblast,VCCF:0000089,myofibroblast cell,CL:0000186,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,neoplastic cell,VCCF:0000090,neoplastic cell,CL:0001063,skos:exactMatch
colon-cycif-sorgerlab_L3,UBERON:0002372,t cell:regulatory,VCCF:0000091,regulatory T cell,CL:0000815,skos:exactMatch
colon-xenium-stanford_L1,UBERON:0002372,mesenchymal cell,VCCF:0000092,mesenchymal cell,CL:0008019,skos:exactMatch
colon-xenium-stanford_L1,UBERON:0002372,epithelial cell,VCCF:0000093,epithelial cell,CL:0000066,skos:exactMatch
colon-xenium-stanford_L1,UBERON:0002372,immune cell,VCCF:0000094,leukocyte,CL:0000738,skos:broadMatch
colon-xenium-stanford_L1,UBERON:0002372,unknown cell,VCCF:0000095,cell:unknown,CL:0000000,skos:narrowMatch
colon-xenium-stanford_L1,UBERON:0002372,endothelial cell,VCCF:0000096,endothelial cell,CL:0000115,skos:exactMatch
colon-xenium-stanford_L1,UBERON:0002372,neural cell,VCCF:0000097,neural cell,CL:0002319,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,adipocyte,VCCF:0000098,adipocyte,CL:0000136,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,enterocyte,VCCF:0000099,enterocyte,CL:0000584,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,t cell,VCCF:0000100,T cell,CL:0000084,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,unknown cell,VCCF:0000101,cell:unknown,CL:0000000,skos:narrowMatch
colon-xenium-stanford_L2,UBERON:0002372,transit amplifying cell,VCCF:0000102,transit amplifying cell,CL:0009010,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,dendritic cell,VCCF:0000103,dendritic cell,CL:0000451,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,endothelial cell of lymphatic vessel,VCCF:0000104,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,endocrine cell,VCCF:0000105,endocrine cell,CL:0000163,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,fibroblast,VCCF:0000106,fibroblast,CL:0000057,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,neuroglial cell,VCCF:0000107,glial cell,CL:0000125,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,goblet cell,VCCF:0000108,goblet cell,CL:0000160,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,lymphoid cell,VCCF:0000109,lymphocyte,CL:0000542,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,tuft cell,VCCF:0000110,brush cell,CL:0002204,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,macrophage,VCCF:0000111,macrophage,CL:0000235,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,mast cell,VCCF:0000112,mast cell,CL:0000097,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,b cell,VCCF:0000113,B cell,CL:0000236,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,neuron,VCCF:0000114,neuron,CL:0000540,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,pericyte,VCCF:0000115,pericyte,CL:0000669,skos:exactMatch
colon-xenium-stanford_L2,UBERON:0002372,stem cell,VCCF:0000116,stem cell,CL:0000034,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,adipocyte,VCCF:0000117,adipocyte,CL:0000136,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,enteroycte:best4+,VCCF:0000118,BEST4+ enterocyte,CL:4030026,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,t cell:cd4+ alpha-beta,VCCF:0000119,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,unknown cell,VCCF:0000120,cell:unknown,CL:0000000,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,transit amplifying cell:proliferating,VCCF:0000121,transit amplifying cell:proliferating,CL:0009010,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,dendritic cell,VCCF:0000122,dendritic cell,CL:0000451,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,t cell:cd8+ alpha-beta effector memory,VCCF:0000123,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,endothelial cell of lymphatic vessel,VCCF:0000124,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,enterocyte,VCCF:0000125,enterocyte,CL:0000584,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,enterocyte:immature,VCCF:0000126,enterocyte:immature,CL:0000584,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,enterocyte:progenitor,VCCF:0000127,enterocyte:progenitor,CL:0000584,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,enteroendocrine cell,VCCF:0000128,enteroendocrine cell,CL:0000164,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,fibroblast:cancer associated,VCCF:0000129,fibroblast:cancer associated,CL:0000057,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,fibroblast:crypt 1,VCCF:0000130,crypt-top fibroblast:1,CL:4052009,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,fibroblast:crypt 2,VCCF:0000131,crypt-top fibroblast:2,CL:4052009,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,fibroblast:crypt 3,VCCF:0000132,crypt-top fibroblast:3,CL:4052009,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,fibroblast:crypt 4,VCCF:0000133,crypt-top fibroblast:4,CL:4052009,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,fibroblast:wnt5b+ villus,VCCF:0000134,fibroblast:wnt5b+ villus,CL:0000057,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,glial cell,VCCF:0000135,glial cell,CL:0000125,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,goblet cell,VCCF:0000136,goblet cell,CL:0000160,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,goblet cell:immature,VCCF:0000137,goblet cell:immature,CL:0000160,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,lymphoid cell:innate,VCCF:0000138,innate lymphoid cell,CL:0001065,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,tuft cell:intestinal,VCCF:0000139,intestinal tuft cell,CL:0019032,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,macrophage,VCCF:0000140,macrophage,CL:0000235,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,mast cell,VCCF:0000141,mast cell,CL:0000097,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,b cell:memory,VCCF:0000142,memory B cell,CL:0000787,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,myofibroblast cell:smooth muscle 1,VCCF:0000143,myofibroblast cell:smooth muscle-like 1,CL:0000186,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,myofibroblast cell:smooth muscle 2,VCCF:0000144,myofibroblast cell:smooth muscle-like 2,CL:0000186,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,myofibroblast cell:smooth muscle 3,VCCF:0000145,myofibroblast cell:smooth muscle-like 3,CL:0000186,skos:narrowMatch
colon-xenium-stanford_L3,UBERON:0002372,b cell:naive,VCCF:0000146,naive B cell,CL:0000788,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,t cell:naive,VCCF:0000147,naive T cell,CL:0000898,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,neuron,VCCF:0000148,neuron,CL:0000540,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,pericyte,VCCF:0000149,pericyte,CL:0000669,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,plasma cell,VCCF:0000150,plasma cell,CL:0000786,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,stem cell,VCCF:0000151,stem cell,CL:0000034,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,t cell:regulatory,VCCF:0000152,regulatory T cell,CL:0000815,skos:exactMatch
colon-xenium-stanford_L3,UBERON:0002372,transit amplifying cell,VCCF:0000153,transit amplifying cell,CL:0009010,skos:exactMatch
esophagus-codex-stanford_L1,UBERON:0001043,epithelial cell,VCCF:0000154,epithelial cell,CL:0000066,skos:exactMatch
esophagus-codex-stanford_L1,UBERON:0001043,immune cell,VCCF:0000155,leukocyte,CL:0000738,skos:broadMatch
esophagus-codex-stanford_L1,UBERON:0001043,neural cell,VCCF:0000156,neural cell,CL:0002319,skos:exactMatch
esophagus-codex-stanford_L1,UBERON:0001043,mesenchymal cell,VCCF:0000157,mesenchymal cell,CL:0008019,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,gland epithelium cell,VCCF:0000158,glandular secretory epithelial cell,CL:0000150,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,lymphoid cell,VCCF:0000159,lymphocyte,CL:0000542,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,neuron,VCCF:0000160,neuron,CL:0000540,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,paneth cell,VCCF:0000161,paneth cell,CL:0000510,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,stromal cell,VCCF:0000162,stromal cell,CL:0000499,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,b cell,VCCF:0000163,B cell,CL:0000236,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,secretory cell of esophagus,VCCF:0000164,glandular cell of esophagus,CL:0002657,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,muscle cell,VCCF:0000165,muscle cell,CL:0000187,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,squamous epithelial cell,VCCF:0000166,squamous epithelial cell,CL:0000076,skos:exactMatch
esophagus-codex-stanford_L2,UBERON:0001043,t cell,VCCF:0000167,T cell,CL:0000084,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,glandular cell of esophagus,VCCF:0000168,glandular cell of esophagus,CL:0002657,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,lymphoid cell:innate,VCCF:0000169,innate lymphoid cell,CL:0001065,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,neuron,VCCF:0000170,neuron,CL:0000540,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,paneth cell,VCCF:0000171,paneth cell,CL:0000510,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,stromal cell:podoplanin+,VCCF:0000172,stromal cell:podoplanin-positive,CL:0000499,skos:narrowMatch
esophagus-codex-stanford_L3,UBERON:0001043,plasma cell,VCCF:0000173,plasma cell,CL:0000786,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,epithelial cell:secretory,VCCF:0000174,secretory epithelial cell,CL:1100001,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,muscle cell:smooth,VCCF:0000175,smooth muscle cell of the esophagus,CL:0002599,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,squamous epithelial cell,VCCF:0000176,squamous epithelial cell,CL:0000076,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,stromal cell,VCCF:0000177,stromal cell,CL:0000499,skos:exactMatch
esophagus-codex-stanford_L3,UBERON:0001043,t cell,VCCF:0000178,T cell,CL:0000084,skos:exactMatch
intestine-codex-stanford_L1,UBERON:0000160,immune cell,VCCF:0000179,leukocyte,CL:0000738,skos:broadMatch
intestine-codex-stanford_L1,UBERON:0000160,epithelial cell,VCCF:0000180,epithelial cell,CL:0000066,skos:exactMatch
intestine-codex-stanford_L1,UBERON:0000160,endothelial cell,VCCF:0000181,endothelial cell,CL:0000115,skos:exactMatch
intestine-codex-stanford_L1,UBERON:0000160,mesenchymal cell,VCCF:0000182,mesenchymal cell,CL:0008019,skos:exactMatch
intestine-codex-stanford_L1,UBERON:0000160,neural cell,VCCF:0000183,neural cell,CL:0002319,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,macrophage,VCCF:0000184,macrophage,CL:0000235,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,b cell,VCCF:0000185,B cell,CL:0000236,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,t cell,VCCF:0000186,T cell,CL:0000084,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,enterocyte,VCCF:0000187,enterocyte,CL:0000584,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,lymphoid cell,VCCF:0000188,lymphocyte,CL:0000542,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,dendritic cell,VCCF:0000189,dendritic cell,CL:0000451,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,endothelial cell of lymphatic vessel,VCCF:0000190,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,goblet cell,VCCF:0000191,goblet cell,CL:0000160,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,neurecto-epithelial cell,VCCF:0000192,neurecto-epithelial cell,CL:0000710,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,natural killer cell,VCCF:0000193,natural killer cell,CL:0000623,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,endocrine cell,VCCF:0000194,endocrine cell,CL:0000163,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,neuron,VCCF:0000195,neuron,CL:0000540,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,neutrophil,VCCF:0000196,neutrophil,CL:0000775,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,paneth cell,VCCF:0000197,paneth cell,CL:0000510,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,muscle cell,VCCF:0000198,muscle cell,CL:0000187,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,stromal cell,VCCF:0000199,stromal cell,CL:0000499,skos:exactMatch
intestine-codex-stanford_L3,UBERON:0000160,macrophage,VCCF:0000200,macrophage,CL:0000235,skos:exactMatch
intestine-codex-stanford_L3,UBERON:0000160,b cell,VCCF:0000201,B cell,CL:0000236,skos:exactMatch
intestine-codex-stanford_L3,UBERON:0000160,t cell:cd4+,VCCF:0000202,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
