Crosswalk of CellTypist annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Ellen M. Quardokus,,,,,
intestine_L1,UBERON:0000160,Stromal 2,CT:0000167,stromal cell:2,CL:0000499,skos:narrowMatch
intestine_L1,UBERON:0000160,Stromal 3,CT:0000168,stromal cell:3,CL:0000499,skos:narrowMatch
intestine_L1,UBERON:0000160,TA,CT:0000169,transit amplifying cell,CL:0009010,skos:exactMatch
intestine_L1,UBERON:0000160,Tcm/Naive helper T cells,CT:0000170,"central memory CD4-positive, alpha-beta T cell",CL:0000904,skos:exactMatch
intestine_L1,UBERON:0000160,Tem/Effector helper T cells,CT:0000171,"effector memory CD4-positive, alpha-beta T cell",CL:0000905,skos:exactMatch
intestine_L1,UBERON:0000160,Tem/Trm cytotoxic T cells,CT:0000172,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch
intestine_L1,UBERON:0000160,Trm cytotoxic T cells,CT:0000173,"effector memory CD8-positive, alpha-beta T cell",CL:0000913,skos:narrowMatch
intestine_L1,UBERON:0000160,Tuft cells,CT:0000174,intestinal tuft cell,CL:0019032,skos:exactMatch
intestine_L1,UBERON:0000160,Type 1 helper T cells,CT:0000175,T-helper 1 cell,CL:0000545,skos:exactMatch
intestine_L1,UBERON:0000160,Type 17 helper T cells,CT:0000176,T-helper 17 cell,CL:0000899,skos:exactMatch
intestine_L1,UBERON:0000160,Venous endothelial cells,CT:0000177,vein endothelial cell,CL:0002543,skos:exactMatch
intestine_L1,UBERON:0000160,gamma-delta T cells,CT:0000178,gamma-delta T cell,CL:0000798,skos:exactMatch
kidney_L1,UBERON:0002113,B cells,CT:0000179,B cell,CL:0000236,skos:exactMatch
kidney_L1,UBERON:0002113,C-TAL,CT:0000180,kidney loop of Henle cortical thick ascending limb epithelial cell,CL:1001109,skos:exactMatch
kidney_L1,UBERON:0002113,CCD-IC-A,CT:0000181,kidney collecting duct alpha-intercalated cell,CL:4030015,skos:exactMatch
kidney_L1,UBERON:0002113,CNT,CT:0000182,kidney connecting tubule epithelial cell,CL:1000768,skos:exactMatch
kidney_L1,UBERON:0002113,Classical monocytes,CT:0000183,classical monocyte,CL:0000860,skos:exactMatch
kidney_L1,UBERON:0002113,DC,CT:0000184,"dendritic cell, human",CL:0001056,skos:exactMatch
kidney_L1,UBERON:0002113,DC2,CT:0000185,CD1c-positive myeloid dendritic cell,CL:0002399,skos:exactMatch
kidney_L1,UBERON:0002113,DCT,CT:0000186,kidney distal convoluted tubule epithelial cell,CL:1000849,skos:exactMatch
kidney_L1,UBERON:0002113,DTL,CT:0000187,kidney loop of Henle thin descending limb epithelial cell,CL:1001111,skos:exactMatch
kidney_L1,UBERON:0002113,EC-AEA,CT:0000188,endothelial cell of arteriole,CL:1000412,skos:narrowMatch
kidney_L1,UBERON:0002113,EC-AVR,CT:0000189,vasa recta ascending limb cell,CL:1001131,skos:exactMatch
kidney_L1,UBERON:0002113,EC-DVR,CT:0000190,vasa recta descending limb cell,CL:1001285,skos:exactMatch
kidney_L1,UBERON:0002113,EC-GC,CT:0000191,glomerular capillary endothelial cell,CL:1001005,skos:exactMatch
kidney_L1,UBERON:0002113,EC-LYM,CT:0000192,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
kidney_L1,UBERON:0002113,EC-PTC,CT:0000193,peritubular capillary endothelial cell,CL:1001033,skos:exactMatch
kidney_L1,UBERON:0002113,FIB/aFIB,CT:0000194,kidney interstitial fibroblast,CL:1000692,skos:exactMatch
kidney_L1,UBERON:0002113,IC-A,CT:0000195,kidney collecting duct alpha-intercalated cell,CL:4030015,skos:exactMatch
kidney_L1,UBERON:0002113,IC-B,CT:0000196,kidney collecting duct beta-intercalated cell,CL:4030005,skos:exactMatch
kidney_L1,UBERON:0002113,IMCD,CT:0000197,kidney inner medulla collecting duct epithelial cell,CL:1000547,skos:exactMatch
kidney_L1,UBERON:0002113,M-FIB,CT:0000198,renal medullary fibroblast,CL:4030022,skos:exactMatch
kidney_L1,UBERON:0002113,M-TAL,CT:0000199,kidney loop of Henle medullary thick ascending limb epithelial cell,CL:1001108,skos:exactMatch
kidney_L1,UBERON:0002113,Myeloid,CT:0000200,myeloid cell,CL:0000763,skos:exactMatch
kidney_L1,UBERON:0002113,NK cells,CT:0000201,natural killer cell,CL:0000623,skos:exactMatch
kidney_L1,UBERON:0002113,Non-classical monocytes,CT:0000202,non-classical monocyte,CL:0000875,skos:exactMatch
kidney_L1,UBERON:0002113,PC,CT:0000203,renal principal cell,CL:0005009,skos:exactMatch
kidney_L1,UBERON:0002113,PEC,CT:0000204,parietal epithelial cell,CL:1000452,skos:exactMatch
kidney_L1,UBERON:0002113,PT,CT:0000205,epithelial cell of proximal tubule,CL:0002306,skos:exactMatch
kidney_L1,UBERON:0002113,PT-S1/2,CT:0000206,epithelial cell of proximal tubule,CL:0002306,skos:narrowMatch
kidney_L1,UBERON:0002113,PT-S3,CT:0000207,epithelial cell of proximal tubule segment 3,CL:4030011,skos:exactMatch
kidney_L1,UBERON:0002113,Podocytes,CT:0000208,podocyte,CL:0000653,skos:exactMatch
kidney_L1,UBERON:0002113,T cells,CT:0000209,T cell,CL:0000084,skos:exactMatch
kidney_L1,UBERON:0002113,T/NK,CT:0000210,mature NK T cell,CL:0000814,skos:exactMatch
kidney_L1,UBERON:0002113,VSMC,CT:0000211,vascular associated smooth muscle cell,CL:0000359,skos:exactMatch
kidney_L1,UBERON:0002113,VSMC/P,CT:0000212,vascular associated smooth muscle cell,CL:0000359,skos:narrowMatch
kidney_L1,UBERON:0002113,aPT,CT:0000213,epithelial cell of proximal tubule,CL:0002306,skos:narrowMatch
kidney_L1,UBERON:0002113,aTAL,CT:0000214,kidney loop of Henle thick ascending limb epithelial cell,CL:1001106,skos:exactMatch
kidney_L1,UBERON:0002113,dATL,CT:0000215,kidney loop of Henle thin ascending limb epithelial cell,CL:1001107,skos:narrowMatch
kidney_L1,UBERON:0002113,dC-IC-A,CT:0000216,kidney collecting duct intercalated cell,CL:1001432,skos:narrowMatch
kidney_L1,UBERON:0002113,dM-FIB,CT:0000217,renal medullary fibroblast,CL:4030022,skos:narrowMatch
kidney_L1,UBERON:0002113,dPT,CT:0000218,epithelial cell of proximal tubule,CL:0002306,skos:narrowMatch
kidney_L1,UBERON:0002113,dVSMC,CT:0000219,vascular associated smooth muscle cell,CL:0000359,skos:narrowMatch
liver_L1,UBERON:0002107,B cells,CT:0000220,B cell,CL:0000236,skos:exactMatch
liver_L1,UBERON:0002107,CD16+ NK cells,CT:0000221,"CD16-positive, CD56-dim natural killer cell, human",CL:0000939,skos:exactMatch
liver_L1,UBERON:0002107,CD16- NK cells,CT:0000222,"CD16-negative, CD56-bright natural killer cell, human",CL:0000938,skos:exactMatch
liver_L1,UBERON:0002107,CD4 T cells,CT:0000223,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
liver_L1,UBERON:0002107,Central venous LSECs,CT:0000224,endothelial cell of pericentral hepatic sinusoid,CL:0019022,skos:exactMatch
liver_L1,UBERON:0002107,Cholangiocytes,CT:0000225,cholangiocyte,CL:1000488,skos:exactMatch
