"Anatomical Structures, Cell Types and Biomarkers Table for Blood Vasculature",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Griffin Weber; Sujin Lee; Rajeev Malhotra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-2597-881X; 0000-0002-6692-6880; 0000-0003-0120-4630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Marc Halushka; Avinash Boppana; Katherine S Gustilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-7112-7389; 0000-0003-0834-8274; 0000-0002-5574-4272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy. Philadelphia, PA: Saunders/Elsevier. 2006.; Gray H. Gray's Anatomy: The Anatomical Basis of Clinical Practice (40th ed.). Churchill-Livingstone, Elsevier. 2008.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM546.QZBB.572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,15-Jun-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,AS/7,AS/7/LABEL,AS/7/ID,AS/8,AS/8/LABEL,AS/8/ID,AS/9,AS/9/LABEL,AS/9/ID,AS/10,AS/10/LABEL,AS/10/ID,AS/11,AS/11/LABEL,AS/11/ID,AS/12,AS/12/LABEL,AS/12/ID,AS/13,AS/13/LABEL,AS/13/ID,AS/14,AS/14/LABEL,AS/14/ID,AS/15,AS/15/LABEL,AS/15/ID,AS/16,AS/16/LABEL,AS/16/ID,AS/17,AS/17/LABEL,AS/17/ID,AS/18,AS/18/LABEL,AS/18/ID,AS/19,AS/19/LABEL,AS/19/ID,AS/20,AS/20/LABEL,AS/20/ID,CT/1,CT/1/LABEL,CT/1/ID,BGene/1,BGene/1/LABEL,BGene/1/ID,BGene/2,BGene/2/LABEL,BGene/2/ID,BGene/3,BGene/3/LABEL,BGene/3/ID,BGene/4,BGene/4/LABEL,BGene/4/ID,FTU/1,FTU/1/LABEL,FTU/1/ID,FTU/1/NOTES,REF/1,REF/1/ID,REF/1/NOTES
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,pulmonary vein,pulmonary vein,UBERON:0002016,intersegmental pulmonary vein,intersegmental pulmonary vein,UBERON:0014904,subsegmental pulmonary vein,Subsegmental pulmonary vein,FMA:9413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endothelial cell of vein,vein endothelial cell,CL:0002543,,,,,,,,,,,,,,,,,https://radiologykey.com/6-pulmonary-artery-and-vein/,https://radiologykey.com/6-pulmonary-artery-and-vein/,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,pulmonary vein,pulmonary vein,UBERON:0002016,intersegmental pulmonary vein,intersegmental pulmonary vein,UBERON:0014904,subsegmental pulmonary vein,Subsegmental pulmonary vein,FMA:9413,pulmonary venule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,,,,,https://radiologykey.com/6-pulmonary-artery-and-vein/,https://radiologykey.com/6-pulmonary-artery-and-vein/,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,pulmonary vein,pulmonary vein,UBERON:0002016,intersegmental pulmonary vein,intersegmental pulmonary vein,UBERON:0014904,subsegmental pulmonary vein,Subsegmental pulmonary vein,FMA:9413,pulmonary venule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endothelial cell of venule,endothelial cell of venule,CL:1000414,,,,,,,,,,,,,,,,,https://radiologykey.com/6-pulmonary-artery-and-vein/,https://radiologykey.com/6-pulmonary-artery-and-vein/,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,pulmonary vein,pulmonary vein,UBERON:0002016,intersegmental pulmonary vein,intersegmental pulmonary vein,UBERON:0014904,subsegmental pulmonary vein,Subsegmental pulmonary vein,FMA:9413,pulmonary venule,,,bronchial capillary #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,bronchus submucosal gland,bronchus submucosal gland,UBERON:8410043,,https://en.wikipedia.org/wiki/Bronchial_artery,https://en.wikipedia.org/wiki/Bronchial_artery,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,pulmonary vein,pulmonary vein,UBERON:0002016,intersegmental pulmonary vein,intersegmental pulmonary vein,UBERON:0014904,subsegmental pulmonary vein,Subsegmental pulmonary vein,FMA:9413,pulmonary venule,,,bronchial capillary #2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,capillary endothelial cell,capillary endothelial cell,CL:0002144,,,,,,,,,,,,,bronchus submucosal gland,bronchus submucosal gland,UBERON:8410043,,https://en.wikipedia.org/wiki/Bronchial_artery,https://en.wikipedia.org/wiki/Bronchial_artery,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,pulmonary vein,pulmonary vein,UBERON:0002016,intersegmental pulmonary vein,intersegmental pulmonary vein,UBERON:0014904,subsegmental pulmonary vein,Subsegmental pulmonary vein,FMA:9413,pulmonary venule,,,intra-acinar venule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,,,,,"Clark AR, Burrowes KS, Tawhai MH. Contribution of serial and parallel microperfusion to spatial variability in pulmonary inter- and intra-acinar blood flow. J Appl Physiol (1985). 2010 May;108(5):1116-26. doi: 10.1152/japplphysiol.01177.2009. Epub 2010 Jan 28. PMID: 20110543; PMCID: PMC2867543.",https://doi.org/10.1152/japplphysiol.01177.2009,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,pulmonary vein,pulmonary vein,UBERON:0002016,intersegmental pulmonary vein,intersegmental pulmonary vein,UBERON:0014904,subsegmental pulmonary vein,Subsegmental pulmonary vein,FMA:9413,pulmonary venule,,,intra-acinar venule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endothelial cell of venule,endothelial cell of venule,CL:1000414,,,,,,,,,,,,,,,,,"Clark AR, Burrowes KS, Tawhai MH. Contribution of serial and parallel microperfusion to spatial variability in pulmonary inter- and intra-acinar blood flow. J Appl Physiol (1985). 2010 May;108(5):1116-26. doi: 10.1152/japplphysiol.01177.2009. Epub 2010 Jan 28. PMID: 20110543; PMCID: PMC2867543.",https://doi.org/10.1152/japplphysiol.01177.2009,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,pulmonary vein,pulmonary vein,UBERON:0002016,intersegmental pulmonary vein,intersegmental pulmonary vein,UBERON:0014904,subsegmental pulmonary vein,Subsegmental pulmonary vein,FMA:9413,pulmonary venule,,,intra-acinar venule,,,post-alveolar capillary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,,,,,"Clark AR, Burrowes KS, Tawhai MH. Contribution of serial and parallel microperfusion to spatial variability in pulmonary inter- and intra-acinar blood flow. J Appl Physiol (1985). 2010 May;108(5):1116-26. doi: 10.1152/japplphysiol.01177.2009. Epub 2010 Jan 28. PMID: 20110543; PMCID: PMC2867543.",https://doi.org/10.1152/japplphysiol.01177.2009,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,pulmonary vein,pulmonary vein,UBERON:0002016,intersegmental pulmonary vein,intersegmental pulmonary vein,UBERON:0014904,subsegmental pulmonary vein,Subsegmental pulmonary vein,FMA:9413,pulmonary venule,,,intra-acinar venule,,,post-alveolar capillary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,capillary endothelial cell,capillary endothelial cell,CL:0002144,,,,,,,,,,,,,,,,,"Clark AR, Burrowes KS, Tawhai MH. Contribution of serial and parallel microperfusion to spatial variability in pulmonary inter- and intra-acinar blood flow. J Appl Physiol (1985). 2010 May;108(5):1116-26. doi: 10.1152/japplphysiol.01177.2009. Epub 2010 Jan 28. PMID: 20110543; PMCID: PMC2867543.",https://doi.org/10.1152/japplphysiol.01177.2009,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,right inferior pulmonary vein,Right inferior pulmonary vein,FMA:49911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,,,,,https://en.wikipedia.org/wiki/Pulmonary_vein,https://en.wikipedia.org/wiki/Pulmonary_vein,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,right inferior pulmonary vein,Right inferior pulmonary vein,FMA:49911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endothelial cell of vein,vein endothelial cell,CL:0002543,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Pulmonary_vein,https://en.wikipedia.org/wiki/Pulmonary_vein,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,right superior pulmonary vein,Right superior pulmonary vein,FMA:49914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,,,,,https://en.wikipedia.org/wiki/Pulmonary_vein,https://en.wikipedia.org/wiki/Pulmonary_vein,For AS
blood vasculature,blood vasculature,UBERON:0004537,left atrium,left cardiac atrium,UBERON:0002079,right superior pulmonary vein,Right superior pulmonary vein,FMA:49914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endothelial cell of vein,vein endothelial cell,CL:0002543,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Pulmonary_vein,https://en.wikipedia.org/wiki/Pulmonary_vein,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cardiac endothelial cell,cardiac endothelial cell,CL:0010008,PECAM1,PECAM1,HGNC:8823,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Heart,https://en.wikipedia.org/wiki/Heart,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,,,,,https://en.wikipedia.org/wiki/Aorta,https://en.wikipedia.org/wiki/Aorta,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Aorta,https://en.wikipedia.org/wiki/Aorta,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,,,,,https://en.wikipedia.org/wiki/Aorta,https://en.wikipedia.org/wiki/Aorta,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,,,,,https://en.wikipedia.org/wiki/Aorta,https://en.wikipedia.org/wiki/Aorta,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,,,,,https://en.wikipedia.org/wiki/Ascending_aorta,https://en.wikipedia.org/wiki/Ascending_aorta,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Ascending_aorta,https://en.wikipedia.org/wiki/Ascending_aorta,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,,,,,https://en.wikipedia.org/wiki/Ascending_aorta,https://en.wikipedia.org/wiki/Ascending_aorta,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vascular smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,ACTA2,ACTA2,HGNC:130,CNN1,CNN1,HGNC:2155,MYOCD,MYOCD,HGNC:16067,TAGLN,TAGLN,HGNC:11553,,,,,https://en.wikipedia.org/wiki/Ascending_aorta,https://en.wikipedia.org/wiki/Ascending_aorta,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,blood vessel endothelial cell,blood vessel endothelial cell,CL:0000071,CDH5,CDH5,HGNC:1764,PECAM1,PECAM1,HGNC:8823,TEK,TEK,HGNC:11724,TIE1,TIE1,HGNC:11809,,,,,https://en.wikipedia.org/wiki/Aortic_arch,https://en.wikipedia.org/wiki/Aortic_arch,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,endothelial cell of artery,endothelial cell of artery,CL:1000413,,,,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Aortic_arch,https://en.wikipedia.org/wiki/Aortic_arch,For AS
blood vasculature,blood vasculature,UBERON:0004537,left ventricle,heart left ventricle,UBERON:0002084,aorta,aorta,UBERON:0000947,ascending aorta,ascending aorta,UBERON:0001496,aortic arch,arch of aorta,UBERON:0001508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fibroblast,fibroblast,CL:0000057,AIFM2,AIFM2,HGNC:21411,DDR2,DDR2,HGNC:2731,,,,,,,,,,,https://en.wikipedia.org/wiki/Aortic_arch,https://en.wikipedia.org/wiki/Aortic_arch,For AS
