OMAP-31: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Fallopian Tube with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Alexander Cabrera; Jean Rosario; Kathleen O'Neill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Diane Saunders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-8849-6746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.1038/s41596-021-00556-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,assigned when published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,release date assigned when published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,assigned when published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon,,,,,,,,,,,,,,,,,,,
OMAP-31,Q86YL7,HGNC:29602,PDPN,Rat,IgG2a,Monoclonal,NC-08,Akoya Biosciences,4250094,,N,,200,Oligonucleotide,AB_3082979,CODEX,FFPE,5,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,Y,This marker defines lymphatic endothelial cells and some immune cells and is part of the core panel for human fallopian tube.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P28906,HGNC:1662,CD34,Mouse,IgG1,Monoclonal,QBEND10,Akoya Biosciences,4550133,,N,,200,Oligonucleotide,AB_3662764,CODEX,FFPE,6,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,Y,This marker defines  fibroblasts and is part of the core panel for human fallopian tube.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P46013,HGNC:7107,MKI67,Mouse,IgG1,Monoclonal,B56,Akoya Biosciences,4450096,,N,,200,Oligonucleotide,AB_3094497,CODEX,FFPE,6,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines proliferating cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P16284,HGNC:8823,PECAM1,Rabbit,IgG,Monoclonal,EP3095,Akoya Biosciences,4250104,,Y,,200,Oligonucleotide,AB_3662762,CODEX,FFPE,6,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,Y,This marker defines vascular endothelial cells and is part of the core panel for human fallopian tube.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P01730,HGNC:1678,CD4,Rabbit,IgG,Monoclonal,EPR6855,Akoya Biosciences,4350018,,Y,,200,Oligonucleotide,AB_2915936,CODEX,FFPE,7,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines helper T cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P20702,HGNC:6152,ITGAX,Mouse,IgG2b,Monoclonal,118/A5,Akoya Biosciences,4550135,,N,,200,Oligonucleotide,AB_3678450,CODEX,FFPE,7,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,"This marker defines macrophages, monocytes, and dendritic cells.",Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P08575,HGNC:9666,PTPRC,Rabbit,IgG,Monoclonal,D9M8I,Akoya Biosciences,4250099,,Y,,200,Oligonucleotide,AB_3662765,CODEX,FFPE,7,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines leukocytes.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P34810,HGNC:1693,CD68,Mouse,IgG1,Monoclonal,KP1,Akoya Biosciences,4550113,,Y,,200,Oligonucleotide,AB_2935894,CODEX,FFPE,8,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,"This marker defines macrophages, monocyte, dendritic cells, and granulocytes.",Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P62736,HGNC:130,ACTA2,Mouse,IgG2a,Monoclonal,1A4,Akoya Biosciences,4450049,,Y,,200,Oligonucleotide,AB_2936084,CODEX,FFPE,8,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,Y,This marker defines smooth muscle cells and ciliated epithelial (CE4) cells and is part of the core panel for human fallopian tube.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P08571,HGNC:1628,CD14,Rabbit,IgG,Monoclonal,EPR3653,Akoya Biosciences,4450047,,Y,,200,Oligonucleotide,AB_3083457,CODEX,FFPE,8,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines myeloid cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P43121,HGNC:6934,MCAM,Rabbit,IgG,Monoclonal,EPR3208,Abcam,ab210072,,Y,,200,Oligonucleotide,AB_3081922,CODEX,FFPE,9,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,"This marker defines smooth muscle cells, some endothelial cells, and neuronal cells.",Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P16422,HGNC:11529,EPCAM,Rabbit,IgG,Monoclonal,EPR20532-225,Abcam,ab225894,,Y,,200,Oligonucleotide,AB_3696018,CODEX,FFPE,9,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines non-ciliated secretory (NCSE1-6) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P04439,HGNC:4931,HLA-A,Rabbit,IgG,Monoclonal,EP1395Y,Akoya Biosciences,4250100,,Y,,200,Oligonucleotide,AB_3678453,CODEX,FFPE,9,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines MHC I cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,Q8TCE9,HGNC:30054,LGALS14,Rabbit,IgG,Monoclonal,EPR9665,Abcam,ab246345,,Y,,200,Oligonucleotide,AB_3662769,CODEX,FFPE,10,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines ciliated epithelial (CE4) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,Q06710,HGNC:8622,PAX8,Rabbit,IgG,Monoclonal,EPR23508-20,Abcam,ab275259,,Y,,200,Oligonucleotide,AB_3662770,CODEX,FFPE,10,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines ciliated epithelial (CE3) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P17813,HGNC:3349,ENG,Rabbit,IgG,Monoclonal,EPR19911-220,Abcam,ab252548,,Y,,200,Oligonucleotide,AB_3662768,CODEX,FFPE,10,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines non-ciliated secretory (NCSE1-6) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P42771,HGNC:1787,CDKN2A,Rabbit,IgG,Monoclonal,EPR1473,Abcam,ab186932,,Y,,50,Oligonucleotide,AB_2895712,CODEX,FFPE,11,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines ciliated epithelial (CE2) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P62736,HGNC:130,ACTA2,Rabbit,IgG,Monoclonal,EPR5368,Abcam,ab220795,,Y,,100,Oligonucleotide,AB_3676095,CODEX,FFPE,11,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines smooth muscle cells and ciliated epithelial (CE4) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,Q13761,HGNC:10473,RUNX3,Rabbit,IgG,Monoclonal,EPR20687,Abcam,ab227125,,Y,,50,Oligonucleotide,AB_3662771,CODEX,FFPE,11,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,,N,This marker defines non-ciliated secretory (NCSE2-6) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P06401,HGNC:8910,PGR,Rabbit,IgG,Monoclonal,YR85,Abcam,ab206926,,Y,,50,Oligonucleotide,AB_2750865,CODEX,FFPE,12,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines non-ciliated secretory (NCSE2-5) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P04275,HGNC:12726,VWF,Rabbit,IgG,Monoclonal,EPR12010,Abcam,ab250094,,Y,,50,Oligonucleotide,AB_3696020,CODEX,FFPE,12,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines vascular endothelial cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,Q92949,HGNC:3816,FOXJ1,Rabbit,IgG,Polyclonal,,Proteintech,28443-1-AP,,N,,100,Oligonucleotide,AB_2918166,CODEX,FFPE,12,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines ciliated epithelial (CE1-4) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,Q16665,HGNC:4910,HIF1A,Rabbit,IgG,Monoclonal,EP1215Y,Akoya Biosciences,4550069,,Y,,200,Oligonucleotide,AB_3082972,CODEX,FFPE,13,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines macrophages.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,"P05787, P05783","HGNC:6446, HGNC:6430","KRT8, KRT18",Mouse,IgG1,Monoclonal,C51,Akoya Biosciences,4450082,,N,,200,Oligonucleotide,AB_3662774,CODEX,FFPE,13,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines non-ciliated secretory epithelial cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P26715,HGNC:6374,KLRC1,Rabbit,IgG,Polyclonal,,Thermo Fisher Scientific,PA5-72543,,N,,50,Oligonucleotide,AB_2718397,CODEX,FFPE,13,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines Natural-Killer (NK) cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,P22083,HGNC:4015,FUT4,Mouse,IgG3,Monoclonal,MC813-70,Abcam,ab16287,,N,,200,Oligonucleotide,AB_778073,CODEX,FFPE,14,AF647,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines neutrophil cells.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,O14645,HGNC:14353,DNALI1,Rabbit,IgG,Polyclonal,,Novus Biologicals,NBP2-16197,,N,,200,Oligonucleotide,AB_3263404,CODEX,FFPE,14,AF750,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,Y,This marker defines ciliated epithelial cells and is part of the core panel for human fallopian tube.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
OMAP-31,Q9ULU8,HGNC:1426,CADPS,Rabbit,IgG,Polyclonal,,Novus Biologicals,NBP3-04378-100ul,,N,,50,Oligonucleotide,AB_3532592,CODEX,FFPE,14,Atto550,https://doi.org/10.17504/protocols.io.q26g79ep1vwz/v1,0009-0007-0189-026X; 0000-0002-6116-5058; 0000-0003-1980-6840,N,This marker defines granulocytes.,Fallopian tube,UBERON:0003889,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
