Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Liver with SIMS v1.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Hua Tian, Presha Rajbhandari, Taruna V Neelakantan, Aubrianna M Decker, Brent R Stockwell",,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,"0000-0002-3598-0219, 0000-0003-2184-7238, 0000-0003-2222-4630, 0000-0002-0646-1815, 0000-0002-3532-3868",,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"Andrea J. Radtke,  Ellen  M. Quardokus, Christopher Werlein",,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,"0000-0003-4379-896, 0000-0001-7655-4833, 0000-0002-7694-4257",,,,,,,,,,,,,,,,,,,,,
General Publication(s):,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM279.BTBC.847,,,,,,,,,,,,,,,,,,,,,
Date:,"May 6, 2022",,,,,,,,,,,,,,,,,,,,,
Version number,v1.0,,,,,,,,,,,,,,,,,,,,,
uniprot_accession_number,HGNC_ID,target_name,antibody_name,host_organism,clonality,vendor,catalog_number,lot_number,recombinant,Dilution/Concentration,Conjugate,RRID,Application,Method,Tissue Preservation,Cycle Number,Fluorescent reporter,DOI for Protocol,ORCID ID of Author,Core Panel (4-6 markers),Essential 25-plex,Rationale
P02768,HGNC:399,Albumin,Recombinant Anti-Albumin antibody,Rabbit monoclonal,EPR12774,Abcam,ab240330,GR3295225,Yes,1:20-1:50,161Dy,AB_2909797,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0224,Y,Y,Stains zone1 or periportal hepatocytes
P08727,HGNC:6436,CK19,Anti-Cytokeratin 19 antibody,Mouse monoclonal,SPM561,Abcam,ab212569,GR3255027,No,1:20,166Er,AB_2909618,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0225,Y,Y,Stains cholangiocytes and hence the bile ducts 
P46013,HGNC:7107,Ki-67,Ki-67 (8D5) Mouse mAb,Mouse IgG1,Ki-67,Cell Signaling,9449S,NA,No,1:20,168Er,AB_2797703,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0226,N,Y,"Stains proliferative cells, likely present in midlobular zone"
P28906,HGNC:1662,CD34,Recombinant Anti-CD34 antibody,Mouse / IgG1,QBEND/10,Abcam,ab198395,GR3271518,Yes,1:20,169Tm,AB_2889381,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0227,Y,Y,Endothelial cells but not hepatic sinusoids 
P16422,HGNC:11529,EpCAM,EpCAM (E6V8Y) XP® Rabbit mAb (Mouse Preferred),Rabbit IgG,E6V8Y,Cell Signaling,93790S,NA,No,1:20-1:50,170 Er,AB_2800214,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0228,N,Y,Stains hepatic stem/progenitor cells
Q9Y5Y7,HGNC:14687,LYVE1,Recombinant Anti-LYVE1 antibody,Rabbit monoclonal,EPR21857,Abcam,ab14917,GR3392340,Yes,1:20,171Yb,AB_2889891,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0229,N,Y,Stains sinusoidal endothelial cells and subsets of macrophages 
P00533,HGNC:3236,EGFR,Recombinant Anti-EGFR antibody,Rabbit monoclonal,EP38Y,Abcam,ab272293,GR3346396,Yes,1:20,176Yb,AB_2909619,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0230,N,Y,Stains cell membrane used for cell segmentation 
P05023,HGNC:799,Na/K ATPase,Recombinant Anti-Sodium Potassium ATPase antibody,Rabbit monoclonal,EP1845Y,Abcam,ab167390,GR3337049,No,1:20,176Yb,AB_2890241,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0231,N,Y,Stains cell membrane used for cell segmentation 
P02452,HGNC:2197,Collagen I,Recombinant Anti-Collagen I antibody,Rabbit monoclonal,EPR7785,Abcam,ab215969,NA,Yes,1:20,196Pt,AB_2909620,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0232,Y,Y,Stains the connective tissue around portal vein region
P00966,HGNC:758,ASS1,Recombinant Anti-ASS1 antibody,Rabbit monoclonal,EPR12398,Abcam,ab231684,GR3360224 / GR3394592,Yes,1:20,167Er,AB_2909621,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0233,N,Y,Stain metabolic zone 3
P05181,HGNC:2631,Cyp 2e1,Anti-Cytochrome P450 2E1 antibody,Rabbit polyclonal,Cytochrome P450 2E1,Abcam,ab28146,GR3375720,No,1:20,166Er,AB_2909622,IHC,SIMS,Fresh Frozen,1,,https://www.protocols.io/view/liver-tissue-staining-with-multiple-lanthanides-ta-b5qmq5u6/,0000-0002-3598-0234,N,Y,Stains zone 3 or pericentral hepatocytes
