"Anatomical Structures, Cell Types and Biomarkers Table for Skeleton",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Katherine S Gustilo; Griffin Weber,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-5574-4272; 0000-0002-2597-881X,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.; FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.",,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM233.TRCP.638,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2023",,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,
AS/1,AS/1/LABEL,AS/1/ID,AS/2,AS/2/LABEL,AS/2/ID,AS/3,AS/3/LABEL,AS/3/ID,AS/4,AS/4/LABEL,AS/4/ID,AS/5,AS/5/LABEL,AS/5/ID,AS/6,AS/6/LABEL,AS/6/ID,CT/1,CT/1/LABEL,CT/1/ID,REF/1,REF/1/DOI,REF/1/NOTES,REF/2,REF/2/DOI,REF/2/NOTES
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,head of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,intertubercular sulcus of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,lateral epicondyle of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,lateral supracondylar ridge of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,lesser tubercle of humerus,lesser tubercle of humerus,UBERON:0011188,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,medial epicondyle of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,medial supracondylar ridge of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,olecranon fossa of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,radial fossa of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,radial groove of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,shaft of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,surgical neck of humerus,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,humerus,humerus,UBERON:0000976,trochlea of humerus,trochlea of humerus,UBERON:0000144,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,radius bone,radius bone,UBERON:0001423,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,radius bone,radius bone,UBERON:0001423,head of radius of radius,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,radius bone,radius bone,UBERON:0001423,interosseous border of radius,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,radius bone,radius bone,UBERON:0001423,neck of radius of radius,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,radius bone,radius bone,UBERON:0001423,radial tuberosity of radius,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,radius bone,radius bone,UBERON:0001423,shaft of radius of radius,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,radius bone,radius bone,UBERON:0001423,styloid process of radius,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,radius bone,radius bone,UBERON:0001423,ulnar notch of radius,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,coronoid process of ulna,coronoid process of ulna,UBERON:0010994,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,head of ulna of ulna,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,interosseous border of ulna,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,olecranon of ulna,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,radial notch of ulna,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,shaft of ulna of ulna,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,styloid process of ulna,styloid process of ulna,UBERON:0011575,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,supinator crest of ulna,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,supinator fossa of ulna,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,trochlear notch of ulna,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,free part of arm bone,,,ulna,ulna,UBERON:0001424,ulnar tuberosity of ulna,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,,,,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal carpal bone 1,distal carpal bone 1,UBERON:0001430,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal carpal bone 2,distal carpal bone 2,UBERON:0001431,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal carpal bone 3,distal carpal bone 3,UBERON:0001432,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal carpal bone 4,distal carpal bone 4,UBERON:0001433,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal carpal bone 4,distal carpal bone 4,UBERON:0001433,hook of hamate,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal phalanx of digit of hand 1,distal phalanx of manual digit 1,UBERON:0004337,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal phalanx of digit of hand 1,distal phalanx of manual digit 1,UBERON:0004337,base of first distal phalanx of hand,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal phalanx of digit of hand 1,distal phalanx of manual digit 1,UBERON:0004337,head of first distal phalanx of hand,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal phalanx of digit of hand 1,distal phalanx of manual digit 1,UBERON:0004337,shaft of first distal phalanx of hand,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal phalanx of digit of hand 1,distal phalanx of manual digit 1,UBERON:0004337,tuberosity of first distal phalanx of hand,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
skeleton,skeleton,UBERON:0004288,appendicular skeleton,appendicular skeleton,UBERON:0002091,arm bone,arm bone,UBERON:0003460,hand bone,manus bone,UBERON:0005897,distal phalanx of digit of hand 2,distal phalanx of manual digit 2,UBERON:0004311,,,,bone cell,bone cell,CL:0001035,"Netter FH. Atlas of human anatomy, 7th ed. Elsevier. 2018.",,,FIPAT. Terminologia Anatomica. 2nd ed. FIPAT.library.dal.ca. Federative International Programme for Anatomical Terminology. 2019.,,
