Crosswalk of Pan-human Azimuth Types annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Aleix Puig-Barbe,,,,,
body_proper,UBERON:0013702,Cycling fibroblast,PAZ:0000052,fibroblast:Cycling,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,F3+ fibroblast,PAZ:0000053,fibroblast:F3+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,FBLN2+APOD+ fibroblast,PAZ:0000054,fibroblast:FBLN2+APOD+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,FRZB+ fibroblast,PAZ:0000055,fibroblast:FRZB+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,G0S2+PPP1R14A+ fibroblast,PAZ:0000056,fibroblast:G0S2+PPP1R14A+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,GREB1+ fibroblast,PAZ:0000057,fibroblast:GREB1+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,IGFBP1+ fibroblast,PAZ:0000058,fibroblast:IGFBP1+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,IGFBP6+APOD+ fibroblast,PAZ:0000059,fibroblast:IGFBP6+APOD+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,IGFBP6+SFRP4+ fibroblast,PAZ:0000060,fibroblast:IGFBP6+SFRP4+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,KCNN3+ fibroblast,PAZ:0000061,fibroblast:KCNN3+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,MDK+NREP+ fibroblast,PAZ:0000062,fibroblast:MDK+NREP+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,Mesenchymal stromal cell,PAZ:0000063,mesenchymal cell:stromal,CL:0008019,skos:narrowMatch
body_proper,UBERON:0013702,Metallothionein+ fibroblast,PAZ:0000064,fibroblast:Metallothionein-positive,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,MMP1+ fibroblast,PAZ:0000065,fibroblast:MMP1-positive,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,Myofibroblast,PAZ:0000066,myofibroblast cell,CL:0000186,skos:exactMatch
body_proper,UBERON:0013702,NR4A3 fibroblast,PAZ:0000067,fibroblast:NR4A3,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,PCOLCE2 fibroblast,PAZ:0000068,fibroblast:PCOLCE2,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,PLA2G2A+IGFBP4+APOC1+ fibroblast,PAZ:0000069,fibroblast:PLA2G2A+IGFBP4+APOC1+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,PLAC9+ fibroblast,PAZ:0000070,fibroblast:PLAC9+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,POSTN fibroblast,PAZ:0000071,fibroblast:POSTN,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,RNASE1+ fibroblast,PAZ:0000072,fibroblast:RNASE1+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,SCN7A fibroblast,PAZ:0000073,fibroblast:SCN7A,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,SPARCL1+ fibroblast,PAZ:0000074,fibroblast:SPARCL1+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,TCIM+NRG1+ fibroblast,PAZ:0000075,fibroblast:TCIM+NRG1+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,THY1+ fibroblast,PAZ:0000076,fibroblast:THY1+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,TNC fibroblast,PAZ:0000077,fibroblast:TNC,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,WISP2+ fibroblast,PAZ:0000078,fibroblast:WISP2+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,Oocyte,PAZ:0000079,oocyte,CL:0000023,skos:exactMatch
body_proper,UBERON:0013702,Primordial germ cell,PAZ:0000080,primordial germ cell,CL:0000670,skos:exactMatch
body_proper,UBERON:0013702,Spermatocyte,PAZ:0000081,spermatocyte,CL:0000017,skos:exactMatch
body_proper,UBERON:0013702,Glial cell of brain,PAZ:0000082,glial cell:brain,CL:0000125,skos:narrowMatch
body_proper,UBERON:0013702,Glial cell of intestine,PAZ:0000083,glial cell:intestine,CL:0000125,skos:narrowMatch
body_proper,UBERON:0013702,Muller glia,PAZ:0000084,Mueller cell,CL:0000636,skos:exactMatch
body_proper,UBERON:0013702,Cycling immune cell,PAZ:0000085,leukocyte:cycling,CL:0000738,skos:narrowMatch
body_proper,UBERON:0013702,Erythrocyte/Megakaryocyte,PAZ:0000086,myeloid cell:erythrocyte/megakaryocyte,CL:0000763,skos:narrowMatch
body_proper,UBERON:0013702,Hematopoietic precursor cell,PAZ:0000087,hematopoietic precursor cell,CL:0008001,skos:exactMatch
body_proper,UBERON:0013702,Lymphoid cell,PAZ:0000088,lymphocyte,CL:0000542,skos:exactMatch
body_proper,UBERON:0013702,Myeloid cell,PAZ:0000089,myeloid cell,CL:0000763,skos:exactMatch
body_proper,UBERON:0013702,Cardiomyocyte,PAZ:0000090,cardiac muscle cell,CL:0000746,skos:exactMatch
body_proper,UBERON:0013702,Skeletal muscle cell,PAZ:0000091,cell of skeletal muscle,CL:0000188,skos:exactMatch
body_proper,UBERON:0013702,Neuron of brain,PAZ:0000092,neuron:brain,CL:0000540,skos:narrowMatch
body_proper,UBERON:0013702,Neuron of retina,PAZ:0000093,retinal cell:neuron,CL:0009004,skos:narrowMatch
body_proper,UBERON:0013702,Cycling perivascular cell,PAZ:0000102,perivascular cell:cycling,CL:4033054,skos:narrowMatch
body_proper,UBERON:0013702,Pericyte,PAZ:0000103,pericyte,CL:0000669,skos:exactMatch
body_proper,UBERON:0013702,Vascular smooth muscle cell,PAZ:0000104,vascular associated smooth muscle cell,CL:0000359,skos:exactMatch
body_proper,UBERON:0013702,ZEB2+ mesoderm,PAZ:0000105,mesodermal cell:ZEB2+,CL:0000222,skos:narrowMatch
body_proper,UBERON:0013702,Cytotrophoblast,PAZ:0000106,trophoblast cell:cytotrophoblast,CL:0000351,skos:narrowMatch
body_proper,UBERON:0013702,Extravillous trophoblast,PAZ:0000107,extravillous trophoblast,CL:0008036,skos:exactMatch
body_proper,UBERON:0013702,INF-activated trophoblast,PAZ:0000108,trophoblast cell:INF:activated,CL:0000351,skos:narrowMatch
body_proper,UBERON:0013702,Syncytiotrophoblast,PAZ:0000109,syncytiotrophoblast cell,CL:0000525,skos:exactMatch
body_proper,UBERON:0013702,ACTA2+ arterial EC,PAZ:0000110,endothelial cell of artery:ACTA2+,CL:1000413,skos:narrowMatch
body_proper,UBERON:0013702,Fetal MHC- arterial EC,PAZ:0000111,fetal artery endothelial cell:MHC-,CL:4047006,skos:narrowMatch
body_proper,UBERON:0013702,SRGN+ arterial EC,PAZ:0000112,endothelial cell of artery:SRGN+,CL:1000413,skos:narrowMatch
body_proper,UBERON:0013702,ACTA2+ capillary EC,PAZ:0000113,capillary endothelial cell:ACTA2+,CL:0002144,skos:narrowMatch
body_proper,UBERON:0013702,Fetal MHC- capillary EC,PAZ:0000114,capillary endothelial cell:MHC- fetal,CL:0002144,skos:narrowMatch
body_proper,UBERON:0013702,Fetal MHC- venous EC,PAZ:0000115,fetal vein endothelial cell:MHC-,CL:4047011,skos:narrowMatch
body_proper,UBERON:0013702,Capsular cell,PAZ:0000116,adrenal gland glandular cell:capsular,CL:1001601,skos:narrowMatch
body_proper,UBERON:0013702,Chromaffin cell,PAZ:0000117,chromaffin cell of adrenal gland,CL:1000426,skos:exactMatch
body_proper,UBERON:0013702,Steroidogenic cell,PAZ:0000118,adrenal gland glandular cell:steroidogenic,CL:1001601,skos:narrowMatch
body_proper,UBERON:0013702,Sympathoadrenal cell,PAZ:0000119,adrenal gland glandular cell:sympathoadrenal,CL:1001601,skos:narrowMatch
body_proper,UBERON:0013702,Sympathoblast,PAZ:0000120,adrenal gland glandular cell:sympathoblast,CL:1001601,skos:narrowMatch
body_proper,UBERON:0013702,Basal cell of bladder,PAZ:0000121,basal cell:bladder,CL:0000646,skos:narrowMatch
body_proper,UBERON:0013702,Lactocyte,PAZ:0000122,lactocyte,CL:0002325,skos:exactMatch
body_proper,UBERON:0013702,Mammary basal cell,PAZ:0000123,basal-myoepithelial cell of mammary gland,CL:0002324,skos:exactMatch
body_proper,UBERON:0013702,Mammary luminal cell,PAZ:0000124,luminal hormone-sensing cell of mammary gland,CL:4033058,skos:exactMatch
body_proper,UBERON:0013702,Mammary luminal progenitor,PAZ:0000125,luminal adaptive secretory precursor cell of mammary gland,CL:4033057,skos:exactMatch
body_proper,UBERON:0013702,Ciliary body cell,PAZ:0000126,epithelial cell:ciliary body,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Corneal epithelial cell,PAZ:0000127,corneal epithelial cell,CL:0000575,skos:exactMatch
body_proper,UBERON:0013702,Epithelial cell of conjunctiva,PAZ:0000128,conjunctival epithelial cell,CL:1000432,skos:exactMatch
body_proper,UBERON:0013702,Eye melanocyte,PAZ:0000129,melanocyte:eye,CL:0000148,skos:narrowMatch
body_proper,UBERON:0013702,Retinal pigment epithelial cell,PAZ:0000130,retinal pigment epithelial cell,CL:0002586,skos:exactMatch
body_proper,UBERON:0013702,Melanocyte,PAZ:0000131,melanocyte:gingiva,CL:0000148,skos:narrowMatch
body_proper,UBERON:0013702,Colonocyte,PAZ:0000132,colonocyte,CL:1000347,skos:exactMatch
body_proper,UBERON:0013702,Enterocyte,PAZ:0000133,enterocyte,CL:0000584,skos:exactMatch
body_proper,UBERON:0013702,Enteroendocrine cell,PAZ:0000134,enteroendocrine cell:intestinal,CL:0000164,skos:narrowMatch
body_proper,UBERON:0013702,Goblet cell,PAZ:0000135,intestine goblet cell,CL:0019031,skos:exactMatch
body_proper,UBERON:0013702,Microfold cell,PAZ:0000136,M cell of gut,CL:0000682,skos:exactMatch
body_proper,UBERON:0013702,Paneth cell,PAZ:0000137,paneth cell,CL:0000510,skos:exactMatch
body_proper,UBERON:0013702,Squamous epithelial cell,PAZ:0000138,squamous epithelial cell:intestinal,CL:0000076,skos:narrowMatch
body_proper,UBERON:0013702,Transit-amplifying cell,PAZ:0000139,transit amplifying cell of gut,CL:4047017,skos:exactMatch
body_proper,UBERON:0013702,Tuft cell,PAZ:0000140,intestinal tuft cell,CL:0019032,skos:exactMatch
body_proper,UBERON:0013702,Renal epithelial cell - distal tubules,PAZ:0000141,epithelial cell of distal tubule,CL:0002305,skos:exactMatch
body_proper,UBERON:0013702,Renal epithelial cell - Loop of Henle,PAZ:0000142,kidney loop of Henle epithelial cell,CL:1000909,skos:exactMatch
body_proper,UBERON:0013702,Renal epithelial cell - proximal tubules,PAZ:0000143,epithelial cell of proximal tubule,CL:0002306,skos:exactMatch
body_proper,UBERON:0013702,Renal intercalated cell,PAZ:0000144,renal intercalated cell,CL:0005010,skos:exactMatch
body_proper,UBERON:0013702,cholangiocyte,PAZ:0000145,cholangiocyte,CL:1000488,skos:exactMatch
body_proper,UBERON:0013702,Hepatocyte,PAZ:0000146,hepatocyte,CL:0000182,skos:exactMatch
body_proper,UBERON:0013702,Aerocyte,PAZ:0000147,alveolar capillary type 2 endothelial cell,CL:4028003,skos:exactMatch
body_proper,UBERON:0013702,Airway basal cell,PAZ:0000148,respiratory tract epithelial cell,CL:0002368,skos:exactMatch
body_proper,UBERON:0013702,Alveolar epithelial cell,PAZ:0000149,pulmonary alveolar epithelial cell,CL:0000322,skos:exactMatch
body_proper,UBERON:0013702,Club cell,PAZ:0000150,club cell:lung,CL:0000158,skos:narrowMatch
body_proper,UBERON:0013702,Multiciliated cell,PAZ:0000151,lung multiciliated epithelial cell,CL:1000271,skos:exactMatch
body_proper,UBERON:0013702,Neuroendocrine cell,PAZ:0000152,pulmonary neuroendocrine cell,CL:1000223,skos:exactMatch
body_proper,UBERON:0013702,AFP+ epithelial cell,PAZ:0000153,epithelial cell:AFP+ ovary,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,CLDN3+ epithelial cell,PAZ:0000154,epithelial cell:CLDN3+ ovary,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,GABRP+ epithelial cell,PAZ:0000155,epithelial cell:GABRP+ ovary,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Granulosa cell,PAZ:0000156,granulosa cell,CL:0000501,skos:exactMatch
body_proper,UBERON:0013702,Acinar cell,PAZ:0000157,pancreatic acinar cell,CL:0002064,skos:exactMatch
body_proper,UBERON:0013702,Alpha cell,PAZ:0000158,pancreatic A cell,CL:0000171,skos:exactMatch
body_proper,UBERON:0013702,Beta cell,PAZ:0000159,type B pancreatic cell,CL:0000169,skos:exactMatch
body_proper,UBERON:0013702,Epsilon cell,PAZ:0000160,pancreatic epsilon cell,CL:0005019,skos:exactMatch
body_proper,UBERON:0013702,Metallothionein+ epithelial cell,PAZ:0000161,epithelial cell of pancreas:Metallothionein+,CL:0000083,skos:narrowMatch
body_proper,UBERON:0013702,Pancreatic ductal cell,PAZ:0000162,pancreatic ductal cell,CL:0002079,skos:exactMatch
body_proper,UBERON:0013702,PP cell,PAZ:0000163,pancreatic PP cell,CL:0002275,skos:exactMatch
body_proper,UBERON:0013702,Keratinocyte,PAZ:0000164,keratinocyte,CL:0000312,skos:exactMatch
body_proper,UBERON:0013702,Merkel cell carcinoma enriched epithelial cell,PAZ:0000165,Merkel cell,CL:0000242,skos:narrowMatch
body_proper,UBERON:0013702,Chief cell,PAZ:0000166,peptic cell,CL:0000155,skos:exactMatch
body_proper,UBERON:0013702,Delta cell,PAZ:0000167,type D cell of stomach,CL:0002267,skos:exactMatch
body_proper,UBERON:0013702,Enterochromaffin cell,PAZ:0000168,type EC enteroendocrine cell,CL:0000577,skos:exactMatch
body_proper,UBERON:0013702,SCGB2A1+ endocrine cell,PAZ:0000169,enteroendocrine cell:SCGB2A1+,CL:0000164,skos:narrowMatch
body_proper,UBERON:0013702,Surface mucous cell,PAZ:0000170,mucous cell of stomach:surface,CL:0002180,skos:narrowMatch
body_proper,UBERON:0013702,Leydig cell,PAZ:0000171,Leydig cell,CL:0000178,skos:exactMatch
body_proper,UBERON:0013702,Luminal cell,PAZ:0000172,epithelial cell:testis luminal,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Peritubular myoid cell,PAZ:0000173,peritubular myoid cell,CL:0002481,skos:exactMatch
body_proper,UBERON:0013702,Sertoli and Interstitial cell common progenitor,PAZ:0000174,epithelial cell:Sertoli and interstitial common progenitor,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Sertoli cell,PAZ:0000175,Sertoli cell,CL:0000216,skos:exactMatch
body_proper,UBERON:0013702,Supporting-like PAX8+ cell,PAZ:0000176,epithelial cell:testis supporting-like PAX8+ cell,CL:0000066,skos:narrowMatch
body_proper,UBERON:0013702,Cortical thymic epithelial cell,PAZ:0000177,cortical thymic epithelial cell,CL:0002364,skos:exactMatch
body_proper,UBERON:0013702,Cycling thymic epithelial cell,PAZ:0000178,epithelial cell of thymus:cycling,CL:0002293,skos:narrowMatch
body_proper,UBERON:0013702,Medullary thymic epithelial cell,PAZ:0000179,medullary thymic epithelial cell,CL:0002365,skos:exactMatch
body_proper,UBERON:0013702,Thymic ciliated cell,PAZ:0000180,epithelial cell of thymus:ciliated,CL:0002293,skos:narrowMatch
body_proper,UBERON:0013702,Thymic myoid cell,PAZ:0000181,epithelial cell of thymus:myoid,CL:0002293,skos:narrowMatch
body_proper,UBERON:0013702,CRABP1+ mesothelial cell,PAZ:0000182,mesothelial cell:CRABP1+,CL:0000077,skos:narrowMatch
body_proper,UBERON:0013702,Cycling mesothelial cell,PAZ:0000183,mesothelial cell:cycling,CL:0000077,skos:narrowMatch
body_proper,UBERON:0013702,GATA4+ mesothelial cell,PAZ:0000184,mesothelial cell:GATA4+,CL:0000077,skos:narrowMatch
body_proper,UBERON:0013702,Cycling CDCA7+ fibroblast,PAZ:0000185,fibroblast:Cycling CDCA7+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,APCDD1+ fibroblast,PAZ:0000186,fibroblast:APCDD1+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,APOE+ fibroblast,PAZ:0000187,fibroblast:APOE+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,C7+ fibroblast,PAZ:0000188,fibroblast:C7+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,COCH+ fibroblast,PAZ:0000189,fibroblast:COCH+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,CXCL14+ fibroblast,PAZ:0000190,fibroblast:CXCL14+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,FGFBP2+ fibroblast,PAZ:0000191,fibroblast:FGFBP2+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,CXCL1/2/3 fibroblast,PAZ:0000192,fibroblast:CXCL1/2/3,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,ADAMDEC1+ fibroblast,PAZ:0000193,fibroblast:ADAMDEC1+,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,Metallothionein+ Collagen- fibroblast,PAZ:0000194,fibroblast:Metallothionein+ Collagen-,CL:0000057,skos:narrowMatch
body_proper,UBERON:0013702,Meiotic oocyte,PAZ:0000195,oocyte:meiotic,CL:0000023,skos:narrowMatch
body_proper,UBERON:0013702,Mitotic oocyte,PAZ:0000196,oocyte:mitotic,CL:0000023,skos:narrowMatch
body_proper,UBERON:0013702,Retinoid acid responsive oocyte,PAZ:0000197,oocyte:retinoid acid responsive,CL:0000023,skos:narrowMatch
body_proper,UBERON:0013702,Cycling primordial germ cell,PAZ:0000198,primordial germ cell:cycling,CL:0000670,skos:narrowMatch
body_proper,UBERON:0013702,Early spermatocyte,PAZ:0000199,primary spermatocyte,CL:0000656,skos:exactMatch
body_proper,UBERON:0013702,Late spermatocyte,PAZ:0000200,secondary spermatocyte,CL:0000657,skos:exactMatch
body_proper,UBERON:0013702,Spermatid,PAZ:0000201,spermatid,CL:0000018,skos:exactMatch
body_proper,UBERON:0013702,Spermatogonial stem cell,PAZ:0000202,spermatogonium,CL:0000020,skos:exactMatch
body_proper,UBERON:0013702,Astrocyte,PAZ:0000203,astrocyte:brain,CL:0000127,skos:narrowMatch
body_proper,UBERON:0013702,Oligodendrocyte,PAZ:0000204,oligodendrocyte:brain,CL:0000128,skos:narrowMatch
body_proper,UBERON:0013702,Cycling glial cell,PAZ:0000205,cycling glial cell:intestine,CL:4047002,skos:narrowMatch
body_proper,UBERON:0013702,Megakaryocyte,PAZ:0000206,megakaryocyte,CL:0000556,skos:exactMatch
body_proper,UBERON:0013702,Red blood cell,PAZ:0000207,erythrocyte,CL:0000232,skos:exactMatch
body_proper,UBERON:0013702,CLP,PAZ:0000208,common lymphoid progenitor,CL:0000051,skos:exactMatch
body_proper,UBERON:0013702,EoBaMa Progenitor,PAZ:0000209,granulocytopoietic cell:eosinophil-basophil-mast cell precursor,CL:0002191,skos:narrowMatch
body_proper,UBERON:0013702,GMP,PAZ:0000210,granulocyte monocyte progenitor cell,CL:0000557,skos:exactMatch
body_proper,UBERON:0013702,HSC,PAZ:0000211,hematopoietic stem cell,CL:0000037,skos:exactMatch
body_proper,UBERON:0013702,LMPP,PAZ:0000212,early lymphoid progenitor,CL:0000936,skos:exactMatch
body_proper,UBERON:0013702,MEP,PAZ:0000213,megakaryocyte-erythroid progenitor cell,CL:0000050,skos:exactMatch
body_proper,UBERON:0013702,MkP,PAZ:0000214,megakaryocyte progenitor cell,CL:0000553,skos:exactMatch
body_proper,UBERON:0013702,MPP,PAZ:0000215,hematopoietic multipotent progenitor cell,CL:0000837,skos:exactMatch
body_proper,UBERON:0013702,Pre-cDC,PAZ:0000216,pre-conventional dendritic cell,CL:0002010,skos:exactMatch
body_proper,UBERON:0013702,Pre-pDC,PAZ:0000217,hematopoietic lineage restricted progenitor cell:pre-plasmacytoid dendritic cell,CL:0002031,skos:narrowMatch
body_proper,UBERON:0013702,B cell,PAZ:0000218,B cell,CL:0000236,skos:exactMatch
body_proper,UBERON:0013702,T/NK cell,PAZ:0000219,lymphocyte:T/NK,CL:0000542,skos:narrowMatch
body_proper,UBERON:0013702,Cycling myeloid cell,PAZ:0000220,cycling myeloid cell,CL:4033081,skos:exactMatch
body_proper,UBERON:0013702,Dendritic cell,PAZ:0000221,dendritic cell,CL:0000451,skos:exactMatch
body_proper,UBERON:0013702,Granulocyte,PAZ:0000222,granulocyte,CL:0000094,skos:exactMatch
body_proper,UBERON:0013702,Macrophage,PAZ:0000223,macrophage,CL:0000235,skos:exactMatch
body_proper,UBERON:0013702,Monocyte,PAZ:0000224,monocyte,CL:0000576,skos:exactMatch
body_proper,UBERON:0013702,Monocyte/DC,PAZ:0000225,monocyte-derived dendritic cell,CL:0011031,skos:exactMatch
body_proper,UBERON:0013702,Osteoclast,PAZ:0000226,osteoclast,CL:0000092,skos:exactMatch
