Crosswalk of VCCF Types annotated cells to Cell Ontology,,,,,,
,,,,,,
Author Name(s):,Aleix Puig-Barbe,,,,,
intestine-codex-stanford_L1,UBERON:0000160,VCCF:0000182,mesenchymal cell,mesenchymal cell,CL:0008019,skos:exactMatch
intestine-codex-stanford_L1,UBERON:0000160,VCCF:0000183,neural cell,neural cell,CL:0002319,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000184,macrophage,macrophage,CL:0000235,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000185,b cell,B cell,CL:0000236,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000186,t cell,T cell,CL:0000084,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000187,enterocyte,enterocyte,CL:0000584,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000188,lymphoid cell,lymphocyte,CL:0000542,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000189,dendritic cell,dendritic cell,CL:0000451,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000190,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000191,goblet cell,goblet cell,CL:0000160,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000192,neurecto-epithelial cell,neurecto-epithelial cell,CL:0000710,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000193,natural killer cell,natural killer cell,CL:0000623,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000194,endocrine cell,endocrine cell,CL:0000163,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000195,neuron,neuron,CL:0000540,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000196,neutrophil,neutrophil,CL:0000775,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000197,paneth cell,paneth cell,CL:0000510,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000198,muscle cell,muscle cell,CL:0000187,skos:exactMatch
intestine-codex-stanford_L2,UBERON:0000160,VCCF:0000199,stromal cell,stromal cell,CL:0000499,skos:exactMatch
intestine-codex-stanford_L3,UBERON:0000160,VCCF:0000200,macrophage,macrophage,CL:0000235,skos:exactMatch
intestine-codex-stanford_L3,UBERON:0000160,VCCF:0000201,b cell,B cell,CL:0000236,skos:exactMatch
intestine-codex-stanford_L3,UBERON:0000160,VCCF:0000202,t cell:cd4+,"CD4-positive, alpha-beta T cell",CL:0000624,skos:exactMatch
intestine-codex-stanford_L3,UBERON:0000160,VCCF:0000203,enterocyte:cd57+,CD57-positive enterocyte,CL:4033092,skos:exactMatch
