Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Lung with Cell DIVE,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,"Christine Surrette, Lisa Lowery, Gloria Pryhuber,Gail Deutsch, Fiona Ginty",,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,"0000-0002-7334-4571, 0000-0002-9143-6509, 0000-0002-9185-3994, 0000-0002-0571-0285, 0000-0001-6638-683X",,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,"James Hagood, Gail Deutsch, Christopher Werlein, Andrea J. Radtke, Ellen M. Quardokus",,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,"0000-0003-3938-0330, 0000-0002-0571-0285, 0000-0002-7694-4257, 0000-0003-4379-896, 0000-0001-7655-4833",,,,,,,,,,,,,,,,,,,,,
General Publication(s):,doi: 10.1016/j.devcel.2021.11.007; 10.1073/pnas.1300136110,,,,,,,,,,,,,,,,,,,,,
Data DOI:,https://doi.org/10.48539/HBM366.RQZK.248,,,,,,,,,,,,,,,,,,,,,
Date:,"May 6, 2022",,,,,,,,,,,,,,,,,,,,,
Version number,v1.0,,,,,,,,,,,,,,,,,,,,,
uniprot_accession_number,HGNC_ID,target_name,antibody_name,host_organism,clonality,vendor,catalog_number,lot_number,recombinant,Dilution/Concentration,Conjugate,RRID,Application,Method,Tissue Preservation,Cycle Number,Fluorescent reporter,DOI for Protocol,ORCID ID of Author,Core Panel (4-6 markers),Essential 25-plex,Rationale
P50052,HGNC:338,ATR2/ATRX/RAD54,anti-AT2R,Rabbit IgG,polyclonal,Sigma,SAB3500098,87591802,N,10,Alexa Fluor 555-zenon,AB_10603401,IHC,Cell DIVE,FFPE,5,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,RAS Pathway/Activation
,,,Zenon™ Rabbit IgG Labeling Kits - Alexa Fluor 555,Goat IgG,polyclonal,Invitrogen,Z25305,1040459 ,N,,AF555,AB_2736950,IHC,Cell DIVE,FFPE,5,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,"used to detect AT2R, see above"
P05023,HGNC:799,NaKATPase,anti-NaKATPase,Rabbit IgG,monoclonal EP1845Y,Abcam,ab167390,GR265604-1,Y,5,Cy5,AB_991679,IHC,Cell DIVE,FFPE,6,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,Segmentation
"P04264, P13647, P02538, P04259, P48668, P05787","HGNC:6412, HGNC:6442, HGNC:6443, HGNC:6444, HGNC:20406, HGNC:6446","Cytokeratin 1, Cytokeratin 5, Cytokeratin 6A, Cytokeratin 6B, Cytokeratin 6C, Cytokeratin 8",anti-PCK26,Mouse IgG1,monoclonal PCK-26,Sigma,C1801,062M4768,N,5,Cy3,AB_476824,IHC,Cell DIVE,FFPE,6,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,Cell type - Epithelial Cell CL:0000066; Segmentation
Q9BYF1,HGNC:13557,ACE2,anti-ACE2,Rabbit IgG,monoclonal EPR4435(2),Abcam,ab239924,GR3341781-5,Y,5,Cy3,AB_2861381,IHC,Cell DIVE,FFPE,7,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,"Viral entry, Binds to virus for entry upon cleavage"
P62753,HGNC:10429,S6,anti-Ribosomal Protein S6,Mouse IgG2b,monoclonal C-8,Santa Cruz,sc-74459 AF647,D2418,N,5,Alexa Fluor 647,AB_2905501,IHC,Cell DIVE,FFPE,7,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,Segmentation
"P12830, P19022, P22223, P55283, P33151, P55285, Q9ULB5, P55286, Q9ULB4, Q9Y6N8, P55287, P55289, P55290, P55291, O75309, Q12864, Q13634, Q9H159, Q9HBT6, Q9UJ99, Q9H251, Q86UP0","HGNC:1748, HGNC:1759, HGNC:1762, HGNC:1763, HGNC:1764, HGNC:1765, HGNC:1766, HGNC:1767, HGNC:1768, HGNC:1749, HGNC:1750, HGNC:1751, HGNC:1753, HGNC:1754, HGNC:1755, HGNC:1756, HGNC:1757, HGNC:1758, HGNC:1760, HGNC:13251, HGNC:13733, HGNC:14265","Cadherin 1, Cadherin 2, Cadherin 3, Cadherin 4, Cadherin 5, Cadherin 6, Cadherin 7, Cadherin 8, Cadherin 9, Cadherin 10, Cadherin 11, Cadherin 12, Cadherin 13, Cadherin 15, Cadherin 16, Cadherin 17, Cadherin 18, Cadherin 19, Cadherin 20, Cadherin 22, Cadherin 23, Cadherin 24",anti-Pan-cadherin,Rabbit IgG,polyclonal,Neomarkers,RB-9036-P,9036P909E,N,5,Cy5,AB_149846,IHC,Cell DIVE,FFPE,8,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,Segmentation
Q15109,HGNC:320,RAGE,anti-RAGE,Goat IgG,polyclonal,R&D Systems,AF1145,HCE0719001,N,5,Cy3,AB_354628,IHC,Cell DIVE,FFPE,8,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",Y,Y,Cell type - alveolar epithelial cells; Type I Pneumocyte; CL:0002062
P11684,HGNC:12523,CCSP,anti-CCSP,Mouse IgG2a,monoclonal C2,Abcam,ab239472,"KPY01191
 KPY0120121",N,5,Cy5,AB_2905498,IHC,Cell DIVE,FFPE,9,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",Y,Y,Cell type - Club Cell of Bronchiole; CL:0000158
P16284,HGNC:8823,CD31,anti-CD31,Mouse IgG1,monoclonal 89C2,Cell Signaling,3528BF,5,N,5,Cy3,AB_2160882,IHC,Cell DIVE,FFPE,9,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",Y,Y,"Cell type - Broadly: Endothelial cells CL:1000413, CL:1001568, LMHA:00805, CL:402802, CL:402803; Angiogenesis"
P04234,HGNC:1673,CD3,anti-CD3,Mouse IgG1,monoclonal F7.2.38,Dako,M7254,20036648,N,5,Cy5,AB_2631163,IHC,Cell DIVE,FFPE,10,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,"Cell type -T lymphocyte CL:0000084, Immune Response"
P01730,HGNC:1678,CD4,anti-CD4,Rabbit IgG,monoclonal EPR6855,Abcam,ab181724,GR290440-3,Y,5,Cy3,AB_2864377,IHC,Cell DIVE,FFPE,10,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,"Cell type - CD4+ T cell effector memory CL:0000905, helper, Immune Response"
P08174,HGNC:2665,CD55,anti-CD55,Rabbit IgG,polyclonal,Proteintech,26580-1-AP,45588,N,10,Cy3,AB_2880559,IHC,Cell DIVE,FFPE,11,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,RAS Pathway/Activation
P10966,HGNC:1707,CD8,anti-CD8,Mouse IgG1,monoclonal C8/144B,Dako,M7103,20071297,N,5,Cy5,AB_2075537,IHC,Cell DIVE,FFPE,11,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,"Cell type - CD8+ T cell effector memory CL:0000913, Immune Response"
P08670,HGNC:12692,Vimentin,anti-Vimentin,Rabbit IgG,monoclonal D21H3,Cell Signaling,9854S AF488,12,N,10,Alexa Fluor 488,AB_10829352,IHC,Cell DIVE,FFPE,11,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,Mesenchymal Cells; Intermediate filaments
P11836,HGNC:7315,CD20,anti-CD20,Rabbit IgG,monoclonal EP459Y,Spring Bioscience,M3324,130430,Y,5,Cy3,AB_1660758,IHC,Cell DIVE,FFPE,12,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,"Cell type - B Lymphocyte CL:0000236, Immune Response"
P34810,HGNC:1693,CD68,anti-CD68,Mouse IgG1,monoclonal KP1,Thermo Fisher,MS-397-PABX,397X1607A,N,2.5,Cy5,AB_720551,IHC,Cell DIVE,FFPE,12,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,"Cell type - Interstitial Macrophage LMHA:00213; Alveolar Macrophage CL:0000583; M1 Macrophages, Immune Response"
Q6ZYK7,HGNC:9605,COX2,anti-COX2,Mouse IgG1,monoclonal Cox 229,Invitrogen,35-8200,RE231769,N,7.5,Cy5,AB_2533224,IHC,Cell DIVE,FFPE,13,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,Inflammation
P04275,HGNC:12726,VWF,anti-VWF,Rabbit IgG,monoclonal EPR12010,Abcam,ab179451,GR146138-3,N,2,Cy3,AB_2890242,IHC,Cell DIVE,FFPE,13,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,Lung Megakaryocyte CL:0000556; Endothelial cells CL:1000413; RAS Pathway/Activation
P63261,HGNC:144,SMA,anti-SMA,Mouse IgG2a,monoclonal 1A4,Sigma,C6198,127M4859V,N,2.5,Cy3,AB_476856,IHC,Cell DIVE,FFPE,14,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",Y,Y,Cell type - Myofibroblasts LMHA:00243; Smooth Muscle of Cells of Airways and Vessels CL:0000192; CL_0019018; Myoepithelial Cells of Glands CL:0000185
P19320,HGNC:12663,VCAM-1,anti-VCAM-1,Rabbit IgG,monoclonal EPR5047,Abcam,ab134047,"GR3346338-1, GR3375149-1",Y,5,Cy5,AB_2721053,IHC,Cell DIVE,FFPE,14,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,N,"RAS Pathway/Activation, Endothelial cell activation"
"P01903, P01911","HGNC:4947, HGNC:4948","HLA-DRA, HLA-DRB1",anti-MHCII,Mouse IgG2b,monoclonal LN3,Thermo Fisher,MS133PABX,133X1710A,N,5,Cy5,AB_63218,IHC,Cell DIVE,FFPE,15,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,"Cell type - antigen presenting cells including Macrophage LMHA:00213, CL:0000583; Dendritic Cell CL:0000784, CL:0002394, Dendritic Cell cDC2 CL:0002399"
P98088,HGNC:7515,MUC 5AC,anti-Mucin 5AC,Mouse IgG1,monoclonal 1-13M1,Abcam,ab24070,"GR3360418-1, GR3361326-1",N,5,Cy3,AB_447844,IHC,Cell DIVE,FFPE,15,,dx.doi.org/10.17504/protocols.io.b4kgqutw,"0000-0002-9185-3994, 0000-0001-6638-683X, 0000-0002-0571-0285, 0000-0002-7334-4571, 0000-0002-9143-6509",N,Y,Cell type - Lung Goblet Cell CL:1000143
