OMAP-27: Organ Mapping Antibody Panel (OMAP) for Multiplexed Antibody-Based Imaging of Human Kidney with CODEX,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Thai Pham; Melissa Farrow,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-6124-7678; 0000-0002-1602-2082,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer(s):,Diane Saunders; Ellen M. Quardokus,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0002-8849-6746; 0000-0001-7655-4833,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,https://doi.org/10.48539/HBM228.CPGH.632,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,"June 15, 2025",,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,(will delete column),,,,,,,,,,,,,,,,,,,,,,,
omap_id,uniprot_accession_number,HGNC_ID,label/synonym,target_symbol,host,isotype,clonality,clone_id,vendor,catalog_number,lot_number,recombinant,concentration_value,dilution_factor,conjugate,rrid,method,tissue_preservation,cycle_number,fluorescent_reporter,protocol_doi,author_orcids,core_panel,rationale,organ,organ_uberon
OMAP-27,P08575,HGNC:9666,CD45,PTPRC,Mouse,IgG1,Monoclonal,HI30,Abcam,ab269347,,N,,200,Oligonucleotide,AB_3678440,CODEX,Fresh frozen,10,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines leukocytes.,Kidney,UBERON:0002113
OMAP-27,P02462,HGNC:2202,,COL4A1,Rabbit,IgG,Monoclonal,EPR20966,Abcam,ab226485,,Y,,200,Oligonucleotide,AB_3674383,CODEX,Fresh frozen,10,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,"This marker defines the tubular basement membrane, mesangial matrix, and glomerular capsule.",Kidney,UBERON:0002113
OMAP-27,P02751,HGNC:3778,Fibronectin,FN1,Rabbit,IgG,Monoclonal,EPR23110-46,Abcam,ab268022,,Y,,200,Oligonucleotide,AB_2927764,CODEX,Fresh frozen,10,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines fibroblasts and injured cells.,Kidney,UBERON:0002113
OMAP-27,P46013,HGNC:7107,Ki67,MKI67,Mouse,IgG1,Monoclonal,B56,Abcam,ab279657,,Y,,200,Oligonucleotide,AB_3678441,CODEX,Fresh frozen,11,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines proliferating cells.,Kidney,UBERON:0002113
OMAP-27,P62736,HGNC:130,alpha SMA,ACTA2,Mouse,IgG2a,Monoclonal,1A4,Abcam,ab240654,,Y,,200,Oligonucleotide,AB_223019,CODEX,Fresh frozen,9,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines vascular smooth muscle cells.,Kidney,UBERON:0002113
OMAP-27,P48681,HGNC:7756,Nestin,NES,Rabbit,IgG,Monoclonal,EPR1301(2),Abcam,ab242400,,Y,,200,Oligonucleotide,AB_3678442,CODEX,Fresh frozen,6,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines podocytes and endothelium.,Kidney,UBERON:0002113
OMAP-27,P29972,HGNC:633,,AQP1,Rabbit,IgG,Monoclonal,EPR11588(B),Abcam,ab178352,,Y,,200,Oligonucleotide,AB_2876888,CODEX,Fresh frozen,11,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines proximal tubulues and descending thin limbs.,Kidney,UBERON:0002113
OMAP-27,P08670,HGNC:12692,Vimentin,VIM,Rabbit,IgG,Monoclonal,EPR3776,Abcam,ab193555,,Y,,200,Oligonucleotide,AB_2814713,CODEX,Fresh frozen,8,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines glomerular cells and fibroblasts.,Kidney,UBERON:0002113
OMAP-27,P08729,HGNC:6445,Cytokeratin 7,KRT7,Rabbit,IgG,Monoclonal,EPR17078,Abcam,ab220804,,Y,,400,Oligonucleotide,AB_3678443,CODEX,Fresh frozen,12,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,"This marker defines epithelial cells of the distal convoluted tubules, connecting tubules, and collecting ducts.",Kidney,UBERON:0002113
OMAP-27,P12830,HGNC:1748,E-Cadherin,CDH1,Goat,IgG,Polyclonal,,R&D Systems,AF748,,N,,200,Oligonucleotide,AB_355568,CODEX,Fresh frozen,14,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,"This marker defines epithelial cells of the distal convoluted tubules, connecting tubules, collecting ducts, descending thin limbs, and thick ascending limb of Henle.",Kidney,UBERON:0002113
OMAP-27,P98164,HGNC:6694,Megalin,LRP2,Rabbit,IgG,Monoclonal,EPR26093-84,Abcam,ab309087,,Y,,200,Oligonucleotide,AB_3678444,CODEX,Fresh frozen,13,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines proximal tubules.,Kidney,UBERON:0002113
OMAP-27,"P05023, P50993, P13637, Q13733","HGNC:799, HGNC:800, HGNC:801, HGNC:14073",NaKATPase,"ATP1A1, ATP1A2, ATP1A3, ATP1A4",Rabbit,IgG,Monoclonal,EPR25414-249,Abcam,ab300508,,Y,,200,Oligonucleotide,AB_3678445,CODEX,Fresh frozen,15,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines the thick ascending limb of Henle.,Kidney,UBERON:0002113
OMAP-27,P02511,HGNC:2389,ab Crystalin,CRYAB,Rabbit,IgG,Monoclonal,EPR2752,Abcam,ab247476,,Y,,200,Oligonucleotide,AB_3678527,CODEX,Fresh frozen,13,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,"thin limb loop of Henle, PTS2/S3",Kidney,UBERON:0002113
OMAP-27,P35222,HGNC:2514,B-catenin,CTNNB1,Rabbit,IgG,Monoclonal,E247,Abcam,ab196204,,Y,,400,Oligonucleotide,AB_2924408,CODEX,Fresh frozen,11,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines the tubular epithelium.,Kidney,UBERON:0002113
OMAP-27,P20702,HGNC:6152,CD11c,ITGAX,Mouse,IgG2b kappa,Monoclonal,118/A5,Thermo Fisher Scientific,14-9761-82,,N,,100,Oligonucleotide,AB_2572997,CODEX,Fresh frozen,1,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines dendritic cells.,Kidney,UBERON:0002113
OMAP-27,O43490,HGNC:9454,CD133,PROM1,Rabbit,IgG,Monoclonal,RM1029,Abcam,ab284397,,Y,,200,Oligonucleotide,AB_2928040,CODEX,Fresh frozen,14,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines injured renal epithelial cells (in proximal tubules).,Kidney,UBERON:0002113
OMAP-27,P16671,HGNC:1663,,CD36,Rabbit,IgG,Monoclonal,EPR22512-58,Abcam,ab255332,,Y,,200,Oligonucleotide,AB_3678529,CODEX,Fresh frozen,13,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker is upregulated in kidney disease.,Kidney,UBERON:0002113
OMAP-27,P01730,HGNC:1678,,CD4,Mouse,IgG1,Monoclonal,EPR6855,Abcam,ab317797,,Y,,200,Oligonucleotide,AB_3678530,CODEX,Fresh frozen,1,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines helper T cells.,Kidney,UBERON:0002113
OMAP-27,P34810,HGNC:1693,,CD68,Mouse,IgG1,Monoclonal,KP1,Abcam,ab233172,,Y,,200,Oligonucleotide,AB_2924694,CODEX,Fresh frozen,3,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines macrophages.,Kidney,UBERON:0002113
OMAP-27,P01732,HGNC:1706,,CD8A,Mouse,IgG1 kappa,Monoclonal,C8/144B,Thermo Fisher Scientific,MA5-13473,,N,,200,Oligonucleotide,AB_11000353,CODEX,Fresh frozen,1,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines cytotoxic T cells.,Kidney,UBERON:0002113
OMAP-27,P04216,HGNC:11801,CD90,THY1,Mouse,IgG1,Monoclonal,5E10,Akoya Biosciences,4450021,,N,,200,Oligonucleotide,AB_3678567,CODEX,Fresh frozen,16,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines proximal tubules.,Kidney,UBERON:0002113
OMAP-27,O95832,HGNC:2032,Claudin1,CLDN1,Rabbit,IgG,Monoclonal,RM1186,Abcam,ab317710,,Y,,200,Oligonucleotide,AB_3678531,CODEX,Fresh frozen,2,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines Bowman's capsule.,Kidney,UBERON:0002113
OMAP-27,Q01955,HGNC:2204,,COL4A3,Rat,IgG2a,Monoclonal,H31,Chrondex,7076,,N,,200,Oligonucleotide,AB_2904116,CODEX,Fresh frozen,3,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines the glomerular basement membrane.,Kidney,UBERON:0002113
OMAP-27,P02452,HGNC:2197,Collagen I,COL1A1,Rabbit,IgG,Monoclonal,EPR7785,Abcam,ab215969,,Y,,200,Oligonucleotide,AB_2909621,CODEX,Fresh frozen,12,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines the renal interstitial matrix.,Kidney,UBERON:0002113
OMAP-27,P07585,HGNC:2705,,DCN,Rabbit,IgG,Polyclonal,,Abcam,ab175404,,N,,200,Oligonucleotide,AB_2890261,CODEX,Fresh frozen,13,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker helps to visualize fibrosis.,Kidney,UBERON:0002113
OMAP-27,Q9Y6C2,HGNC:19880,,EMILIN1,Rabbit,IgG,Polyclonal,,Abcam,ab243324,,N,,200,Oligonucleotide,AB_3678533,CODEX,Fresh frozen,14,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines the extracellular matrix.,Kidney,UBERON:0002113
OMAP-27,P16104,HGNC:4739,Gamma-H2AX,H2AX,Rabbit,IgG,Monoclonal,EP854(2)Y,Abcam,ab215967,,Y,,200,Oligonucleotide,AB_2864385,CODEX,Fresh frozen,7,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker identifies cells with DNA damage.,Kidney,UBERON:0002113
OMAP-27,P23771,HGNC:4172,,GATA3,Mouse,IgG1,Monoclonal,L50-823,Abcam,ab282130,,Y,,200,Oligonucleotide,AB_3678534,CODEX,Fresh frozen,5,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines mesangial cells in glomeruli as well as the epithelium in collecting ducts and connecting tubules.,Kidney,UBERON:0002113
OMAP-27,P11166,HGNC:11005,GLUT-1,SLC2A1,Mouse,IgG2b,Monoclonal,GLUT1/2475,Abcam,ab237900,,N,,200,Oligonucleotide,AB_3678535,CODEX,Fresh frozen,17,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines red blood cells.,Kidney,UBERON:0002113
OMAP-27,P80188,HGNC:6526,NGAL,LCN2,Rabbit,IgG,Monoclonal,EPR5084,Abcam,ab187969,,Y,,100,Oligonucleotide,AB_3678536,CODEX,Fresh frozen,4,Atto550,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker labels injured cells in the kidney.,Kidney,UBERON:0002113
OMAP-27,P42771,HGNC:1787,p16INK,CDKN2A,Rabbit,IgG,Monoclonal,EPR1473,Abcam,ab186932,,Y,,200,Oligonucleotide,AB_2895712,CODEX,Fresh frozen,4,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker is upregulated in aged and diseased kidney.,Kidney,UBERON:0002113
OMAP-27,P31639,HGNC:11037,SGLT2,SLC5A2,Rabbit,IgG,Monoclonal,EPR29167-46,Abcam,ab320087,,Y,,200,Oligonucleotide,AB_3678537,CODEX,Fresh frozen,8,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines the proximal tubles segments 1 and 2.,Kidney,UBERON:0002113
OMAP-27,Q13621,HGNC:10910,,SLC12A1,Rabbit,IgG,Polyclonal,,Thermo Fisher,PA5-80002,,N,,200,Oligonucleotide,AB_2747117,CODEX,Fresh frozen,12,AF750,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,Y,This marker defines the thick ascending limb of Henle.,Kidney,UBERON:0002113
OMAP-27,P55017,HGNC:10912,,SLC12A3,Rabbit,IgG,Polyclonal,,Abcam,ab233401,,N,,200,Oligonucleotide,AB_3678538,CODEX,Fresh frozen,2,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines the membrane of distal tubules and collecting duct intercalated cells.,Kidney,UBERON:0002113
OMAP-27,Q9HCU0,HGNC:18219,TEM1,CD248,Rabbit,IgG,Monoclonal,EPR17081,Abcam,ab251416,,Y,,100,Oligonucleotide,AB_3678539,CODEX,Fresh frozen,15,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,This marker defines juxtaglomerular cells.,Kidney,UBERON:0002113
OMAP-27,P35968,HGNC:6307,Vegfr2,KDR,Rabbit,IgG,Monoclonal,SP123,Abcam,ab243912,,Y,,200,Oligonucleotide,AB_2924414,CODEX,Fresh frozen,9,Cy5,https://doi.org/10.17504/protocols.io.buc5nsy6,0000-0002-6124-7678; 0000-0002-1602-2082,N,"This marker defines peritubular capillaries, glomerular basement membrane, endothelial cells, and endothelial cell progenitors.",Kidney,UBERON:0002113
